episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
3950000,0.610000,0.710000,0.600000,0.380000,0.460000,0.360000,0.050000,0.317949,0.597403,0.000000
4000000,0.330000,0.830000,0.280000,0.230000,0.700000,0.180000,0.130000,0.780220,0.354790,0.000000
4050000,0.640000,0.430000,0.390000,0.450000,0.220000,0.170000,0.030000,0.560784,0.426829,0.000000
4100000,0.400000,0.940000,0.370000,0.320000,0.570000,0.150000,0.070000,0.637681,0.491525,0.000000
4150000,0.350000,0.910000,0.270000,0.330000,0.790000,0.250000,0.180000,0.909091,0.376648,0.000000
4200000,0.440000,0.840000,0.320000,0.390000,0.700000,0.260000,0.230000,0.774194,0.414048,0.000000
4250000,0.570000,0.860000,0.490000,0.270000,0.590000,0.190000,0.310000,0.339901,0.790698,0.000000
4300000,0.160000,0.980000,0.140000,0.120000,0.580000,0.070000,0.040000,0.750000,0.289216,0.000000
4350000,0.840000,0.930000,0.790000,0.180000,0.170000,0.030000,0.020000,0.436782,0.178363,0.000000
4400000,0.940000,0.140000,0.100000,0.700000,0.100000,0.060000,0.010000,0.445573,0.870968,0.000000
4450000,0.090000,0.980000,0.080000,0.050000,0.710000,0.040000,0.000000,0.523810,0.149665,0.000000
4500000,0.260000,0.930000,0.230000,0.220000,0.440000,0.150000,0.110000,0.520000,0.212230,0.000000
4550000,0.270000,0.990000,0.260000,0.160000,0.830000,0.160000,0.100000,0.684211,0.470345,0.000000
4600000,0.320000,0.930000,0.250000,0.310000,0.820000,0.220000,0.160000,0.791209,0.355556,0.000000
4650000,0.330000,0.940000,0.270000,0.320000,0.880000,0.260000,0.270000,0.943182,0.503559,0.000000
4700000,0.470000,0.910000,0.390000,0.460000,0.300000,0.130000,0.240000,0.895028,0.155789,0.000000
4750000,0.710000,0.650000,0.360000,0.640000,0.490000,0.320000,0.090000,0.427734,0.321337,0.000000
4800000,0.230000,0.930000,0.220000,0.190000,0.470000,0.080000,0.010000,0.714286,0.339071,0.000000
4850000,0.280000,0.950000,0.280000,0.250000,0.740000,0.140000,0.110000,0.723684,0.625000,0.000000
4900000,0.250000,0.930000,0.220000,0.190000,0.780000,0.110000,0.090000,0.299107,0.468373,0.000000
4950000,0.390000,0.940000,0.360000,0.340000,0.770000,0.190000,0.250000,0.778761,0.777215,0.000000
5000000,0.280000,0.900000,0.230000,0.250000,0.810000,0.210000,0.120000,0.850746,0.572711,0.000000
