episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.000000,0.060000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,1.000000,0.000000
200000,0.100000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000
350000,0.060000,0.080000,0.020000,0.060000,0.020000,0.020000,0.040000,0.750000,0.250000,0.000000
500000,0.100000,0.040000,0.000000,0.080000,0.040000,0.000000,0.020000,0.625000,1.000000,0.000000
650000,0.140000,0.100000,0.040000,0.120000,0.080000,0.020000,0.020000,0.800000,0.833333,0.000000
850000,0.100000,0.040000,0.020000,0.100000,0.040000,0.020000,0.000000,0.833333,1.000000,0.000000
1000000,0.120000,0.080000,0.020000,0.120000,0.060000,0.020000,0.000000,1.000000,0.600000,0.000000
1150000,0.060000,0.060000,0.000000,0.060000,0.060000,0.000000,0.000000,0.750000,1.000000,0.000000
1300000,0.020000,0.040000,0.020000,0.000000,0.040000,0.000000,0.000000,0.000000,1.000000,0.000000
1450000,0.140000,0.060000,0.040000,0.100000,0.040000,0.000000,0.040000,0.777778,0.666667,0.000000
