episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.140000,0.120000,0.020000,0.140000,0.120000,0.020000,0.000000,1.000000,1.000000,0.000000
150000,0.240000,0.240000,0.120000,0.180000,0.240000,0.100000,0.020000,0.909091,1.000000,0.000000
300000,0.420000,0.320000,0.180000,0.420000,0.320000,0.180000,0.060000,1.000000,0.968750,0.000000
400000,0.360000,0.580000,0.240000,0.340000,0.580000,0.220000,0.040000,0.973684,0.986667,0.000000
500000,0.520000,0.500000,0.300000,0.520000,0.500000,0.300000,0.020000,0.980000,1.000000,0.000000
650000,0.360000,0.200000,0.100000,0.340000,0.200000,0.100000,0.000000,0.954545,1.000000,0.000000
750000,0.320000,0.220000,0.040000,0.320000,0.220000,0.040000,0.060000,0.947368,1.000000,0.000000
850000,0.300000,0.140000,0.080000,0.300000,0.140000,0.080000,0.000000,1.000000,0.866667,0.000000
1000000,0.540000,0.120000,0.060000,0.540000,0.120000,0.060000,0.020000,1.000000,0.960000,0.000000
1100000,0.360000,0.340000,0.040000,0.360000,0.340000,0.040000,0.040000,1.000000,0.977778,0.000000
1200000,0.440000,0.180000,0.060000,0.440000,0.180000,0.060000,0.100000,1.000000,0.952381,0.000000
1350000,0.340000,0.580000,0.060000,0.340000,0.580000,0.060000,0.080000,1.000000,0.985075,0.000000
1450000,0.480000,0.220000,0.100000,0.460000,0.220000,0.100000,0.040000,0.950000,1.000000,0.000000
1550000,0.380000,0.340000,0.060000,0.380000,0.340000,0.060000,0.020000,0.983871,0.962963,0.000000
1700000,0.360000,0.240000,0.080000,0.360000,0.240000,0.080000,0.080000,0.970588,0.967742,0.000000
1800000,0.300000,0.220000,0.100000,0.280000,0.200000,0.080000,0.080000,0.973684,0.884615,0.000000
1900000,0.360000,0.380000,0.120000,0.360000,0.380000,0.120000,0.060000,0.982456,0.970149,0.000000
2050000,0.260000,0.320000,0.020000,0.260000,0.320000,0.020000,0.060000,0.980000,1.000000,0.000000
2150000,0.160000,0.100000,0.020000,0.160000,0.100000,0.020000,0.000000,0.958333,1.000000,0.000000
2250000,0.220000,0.240000,0.100000,0.220000,0.240000,0.100000,0.040000,1.000000,1.000000,0.000000
2400000,0.240000,0.340000,0.040000,0.240000,0.340000,0.040000,0.020000,0.953488,0.972222,0.000000
2500000,0.500000,0.100000,0.020000,0.480000,0.100000,0.020000,0.040000,0.980000,1.000000,0.000000
2600000,0.400000,0.140000,0.060000,0.380000,0.140000,0.060000,0.000000,0.924528,1.000000,0.000000
2750000,0.520000,0.100000,0.060000,0.520000,0.100000,0.060000,0.200000,0.980000,1.000000,0.000000
2850000,0.180000,0.160000,0.000000,0.180000,0.160000,0.000000,0.040000,1.000000,1.000000,0.000000
