episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
250000,0.040000,0.120000,0.000000,0.040000,0.120000,0.000000,0.000000,1.000000,1.000000,0.000000
400000,0.060000,0.220000,0.020000,0.060000,0.220000,0.020000,0.060000,1.000000,0.928571,0.000000
600000,0.020000,0.160000,0.000000,0.020000,0.160000,0.000000,0.040000,1.000000,0.846154,0.000000
800000,0.180000,0.320000,0.060000,0.160000,0.280000,0.040000,0.100000,0.923077,0.586207,0.000000
950000,0.180000,0.240000,0.080000,0.180000,0.220000,0.060000,0.100000,1.000000,0.904762,0.000000
1150000,0.200000,0.260000,0.080000,0.200000,0.220000,0.060000,0.060000,1.000000,0.629630,0.000000
1350000,0.140000,0.200000,0.040000,0.120000,0.200000,0.020000,0.100000,0.933333,1.000000,0.000000
1500000,0.200000,0.200000,0.040000,0.180000,0.200000,0.020000,0.160000,0.965517,1.000000,0.000000
1700000,0.160000,0.280000,0.060000,0.140000,0.280000,0.040000,0.120000,0.900000,1.000000,0.000000
