episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,coop_rate,r0_offensive,r1_offensive,r2_kill_rate
50000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
250000,0.000000,0.140000,0.000000,0.000000,0.140000,0.000000,0.000000,0.000000,0.875000,0.000000
400000,0.080000,0.200000,0.020000,0.080000,0.140000,0.020000,0.060000,1.000000,0.600000,0.000000
600000,0.180000,0.180000,0.080000,0.160000,0.180000,0.060000,0.040000,0.928571,0.950000,0.000000
800000,0.100000,0.120000,0.000000,0.080000,0.120000,0.000000,0.020000,0.875000,1.000000,0.000000
950000,0.180000,0.320000,0.060000,0.120000,0.300000,0.020000,0.060000,0.533333,0.882353,0.000000
1150000,0.260000,0.240000,0.060000,0.200000,0.240000,0.040000,0.100000,0.692308,0.880000,0.000000
1350000,0.420000,0.200000,0.140000,0.400000,0.180000,0.120000,0.060000,0.888889,0.761905,0.000000
1500000,0.120000,0.340000,0.020000,0.100000,0.320000,0.020000,0.100000,0.909091,0.666667,0.000000
1700000,0.080000,0.100000,0.000000,0.080000,0.100000,0.000000,0.040000,1.000000,0.857143,0.000000
