episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.060000,0.060000,1.000000,0.333333,0.666667
200000,0.000000,0.000000,0.000000,0.000000,0.000000
400000,0.000000,0.000000,0.000000,0.000000,0.000000
550000,0.000000,0.000000,0.000000,0.000000,0.000000
750000,0.000000,0.000000,0.000000,0.000000,0.000000
900000,0.040000,0.000000,0.000000,0.000000,1.000000
1050000,0.120000,0.020000,0.166667,0.000000,1.000000
1250000,0.360000,0.060000,0.142857,0.000000,1.000000
1400000,0.120000,0.060000,0.800000,0.111111,0.888889
1600000,0.000000,0.000000,0.000000,0.000000,0.000000
1750000,0.360000,0.340000,0.842105,0.310345,0.689655
1900000,0.980000,0.400000,0.330275,0.013953,0.986047
2100000,1.000000,0.060000,0.103448,0.054545,0.945455
2250000,1.000000,0.020000,0.036364,0.018519,0.981481
2400000,1.000000,0.060000,0.053571,0.000000,1.000000
2600000,1.000000,0.040000,0.053571,0.018182,0.981818
2750000,1.000000,0.040000,0.056604,0.019231,0.980769
2950000,0.960000,0.040000,0.055556,0.018868,0.981132
3100000,1.000000,0.060000,0.061404,0.027027,0.972973
3250000,1.000000,0.040000,0.053571,0.018182,0.981818
3450000,1.000000,0.060000,0.053571,0.000000,1.000000
3600000,1.000000,0.060000,0.066667,0.011236,0.988764
3800000,1.000000,0.020000,0.018868,0.000000,1.000000
3950000,1.000000,0.060000,0.068966,0.017544,0.982456
4100000,1.000000,0.380000,0.383562,0.073529,0.926471
4300000,0.140000,0.020000,0.318182,0.222222,0.777778
4450000,0.120000,0.040000,0.437500,0.454545,0.545455
4650000,0.160000,0.020000,0.275862,0.260870,0.739130
4800000,0.080000,0.000000,0.066667,0.071429,0.928571
4950000,0.440000,0.120000,0.178862,0.033613,0.966387
5150000,0.200000,0.100000,0.523810,0.312500,0.687500
5300000,0.140000,0.060000,0.444444,0.285714,0.714286
5450000,0.560000,0.040000,0.064516,0.000000,1.000000
5650000,0.720000,0.040000,0.207547,0.060000,0.940000
5800000,1.000000,0.040000,0.181818,0.000000,1.000000
6000000,0.880000,0.040000,0.147541,0.109091,0.890909
6150000,0.960000,0.020000,0.037736,0.019231,0.980769
6300000,1.000000,0.100000,0.157895,0.055556,0.944444
6500000,1.000000,0.060000,0.064516,0.016393,0.983607
6650000,0.800000,0.020000,0.022222,0.000000,1.000000
6850000,0.800000,0.060000,0.085106,0.021739,0.978261
7000000,0.800000,0.020000,0.022727,0.000000,1.000000
7150000,0.760000,0.020000,0.023810,0.000000,1.000000
7350000,0.140000,0.040000,0.400000,0.250000,0.750000
7500000,0.800000,0.040000,0.070175,0.017857,0.982143
7700000,0.120000,0.060000,0.269231,0.130435,0.869565
7850000,0.000000,0.000000,0.000000,0.000000,0.000000
8000000,0.020000,0.020000,0.250000,0.000000,1.000000
8200000,0.640000,0.040000,0.108108,0.027778,0.972222
8350000,0.700000,0.040000,0.050000,0.000000,1.000000
8500000,0.220000,0.060000,0.320000,0.136364,0.863636
8700000,1.000000,0.040000,0.226804,0.168675,0.831325
8850000,0.100000,0.040000,0.428571,0.166667,0.833333
9050000,0.080000,0.020000,0.333333,0.200000,0.800000
9200000,0.020000,0.020000,0.250000,0.000000,1.000000
9350000,0.000000,0.000000,0.000000,0.000000,0.000000
9550000,0.040000,0.040000,0.400000,0.000000,1.000000
9700000,0.940000,0.060000,0.184615,0.031746,0.968254
9900000,1.000000,0.040000,0.053571,0.018182,0.981818
10000001,1.000000,0.040000,0.053571,0.018182,0.981818
