episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.080000,0.080000,0.966667,0.764706,0.235294
450000,0.010000,0.010000,1.000000,0.000000,1.000000
900000,0.060000,0.050000,0.833333,0.000000,1.000000
1300000,0.040000,0.040000,1.000000,0.000000,1.000000
1700000,0.550000,0.180000,0.350993,0.170543,0.829457
2100000,0.400000,0.100000,0.320513,0.026316,0.973684
2550000,1.000000,0.050000,0.009512,0.002384,0.997616
2950000,1.000000,0.670000,0.285714,0.102740,0.897260
3350000,0.830000,0.420000,0.526316,0.075472,0.924528
3800000,0.590000,0.530000,0.479381,0.065934,0.934066
4200000,0.220000,0.220000,0.830189,0.261905,0.738095
4600000,1.000000,0.720000,0.311728,0.015674,0.984326
5050000,0.710000,0.100000,0.005361,0.000488,0.999512
5450000,1.000000,0.990000,0.320557,0.286996,0.713004
5850000,0.290000,0.030000,0.101010,0.042105,0.957895
6250000,0.200000,0.120000,0.483871,0.291667,0.708333
6700000,1.000000,0.920000,0.528634,0.008889,0.991111
7100000,1.000000,0.150000,0.034565,0.002389,0.997611
7500000,1.000000,0.040000,0.055556,0.018868,0.981132
7950000,1.000000,0.420000,0.046495,0.021183,0.978817
8350000,1.000000,0.060000,0.004581,0.000000,1.000000
8750000,1.000000,0.300000,0.072122,0.014065,0.985935
9150000,0.560000,0.230000,0.420290,0.045455,0.954545
9600000,0.840000,0.820000,0.925234,0.028846,0.971154
10000000,1.000000,0.450000,0.343348,0.207254,0.792746
