episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
50000,0.060000,0.060000,1.000000,0.000000,1.000000
200000,0.000000,0.000000,0.000000,0.000000,0.000000
400000,0.000000,0.000000,0.000000,0.000000,0.000000
550000,0.000000,0.000000,0.000000,0.000000,0.000000
700000,0.000000,0.000000,0.000000,0.000000,0.000000
900000,0.020000,0.000000,0.000000,0.000000,1.000000
1050000,0.360000,0.000000,0.000000,0.000000,1.000000
1250000,0.380000,0.000000,0.000000,0.000000,1.000000
1400000,0.580000,0.040000,0.130573,0.000000,1.000000
1550000,0.580000,0.460000,0.654545,0.000000,1.000000
1750000,0.800000,0.700000,0.114094,0.000000,1.000000
1900000,0.320000,0.220000,0.208791,0.000000,1.000000
2050000,1.000000,0.260000,0.227749,0.000000,1.000000
2250000,0.980000,0.720000,0.325000,0.000000,1.000000
2400000,1.000000,0.380000,0.290323,0.000000,1.000000
2600000,1.000000,0.900000,0.482639,0.000000,1.000000
2750000,0.980000,0.820000,0.669231,0.000000,1.000000
2900000,0.900000,0.880000,0.487013,0.000000,1.000000
3100000,1.000000,0.820000,0.446328,0.000000,1.000000
3250000,0.920000,0.640000,0.327273,0.000000,1.000000
3400000,1.000000,0.140000,0.218543,0.000000,1.000000
3600000,1.000000,0.060000,0.015695,0.000000,1.000000
3750000,1.000000,0.240000,0.017254,0.000000,1.000000
3950000,1.000000,0.720000,0.183071,0.000000,1.000000
4100000,1.000000,0.240000,0.051975,0.000000,1.000000
4250000,1.000000,0.920000,0.140301,0.000000,1.000000
4450000,0.960000,0.080000,0.012865,0.000000,1.000000
4600000,1.000000,0.000000,0.053009,0.000000,1.000000
4750000,1.000000,0.140000,0.008716,0.000000,1.000000
4950000,1.000000,0.020000,0.001548,0.000000,1.000000
5100000,0.860000,0.640000,0.685393,0.000000,1.000000
5300000,1.000000,0.560000,0.137157,0.000000,1.000000
5450000,0.840000,0.160000,0.063570,0.000000,1.000000
5600000,1.000000,0.540000,0.224066,0.000000,1.000000
5800000,0.980000,0.120000,0.016603,0.000000,1.000000
5950000,0.920000,0.240000,0.596859,0.000000,1.000000
6100000,0.800000,0.380000,0.347594,0.000000,1.000000
6300000,0.900000,0.360000,0.211340,0.000000,1.000000
6450000,0.940000,0.680000,0.327869,0.000000,1.000000
6650000,1.000000,0.080000,0.010540,0.000000,1.000000
6800000,1.000000,0.100000,0.190476,0.000000,1.000000
6950000,0.980000,0.260000,0.142241,0.000000,1.000000
7150000,0.440000,0.380000,0.555556,0.000000,1.000000
7300000,0.760000,0.180000,0.597561,0.000000,1.000000
7450000,0.920000,0.620000,0.645161,0.000000,1.000000
7650000,1.000000,0.320000,0.054054,0.000000,1.000000
7800000,0.840000,0.600000,0.183168,0.000000,1.000000
8000000,0.960000,0.420000,0.385135,0.000000,1.000000
8150000,0.820000,0.180000,0.132911,0.000000,1.000000
8300000,0.960000,0.460000,0.320988,0.000000,1.000000
8500000,1.000000,0.640000,0.153684,0.000000,1.000000
8650000,0.420000,0.140000,0.349206,0.000000,1.000000
8800000,1.000000,0.960000,0.261062,0.000000,1.000000
9000000,1.000000,0.840000,0.071942,0.000000,1.000000
9150000,0.840000,0.260000,1.000000,0.000000,1.000000
9350000,0.900000,0.580000,0.609195,0.000000,1.000000
9500000,0.960000,0.440000,0.562500,0.000000,1.000000
9650000,0.440000,0.080000,0.375000,0.000000,1.000000
9850000,0.980000,0.320000,0.569444,0.000000,1.000000
10000000,1.000000,0.240000,0.037975,0.000000,1.000000
