episode,any_hit_ep_rate,hunt_ep_rate,offensive_rate,double_hit_pct,hit_retreat_pct
10000,0.100000,0.100000,1.000000,0.739130,0.260870
260000,0.800000,0.050000,0.002169,0.000362,0.999638
510000,0.420000,0.010000,0.000810,0.000405,0.999595
760000,0.790000,0.070000,0.016763,0.015194,0.984806
1010000,0.970000,0.060000,0.001995,0.000499,0.999501
1260000,0.840000,0.060000,0.001557,0.000389,0.999611
1510000,1.000000,0.070000,0.002528,0.000316,0.999684
1760000,1.000000,0.050000,0.017128,0.012000,0.988000
2010000,0.840000,0.030000,0.001145,0.000000,1.000000
2260000,0.350000,0.330000,0.952381,0.166667,0.833333
2510000,0.680000,0.040000,0.024194,0.008130,0.991870
2760000,0.320000,0.160000,0.452055,0.042857,0.957143
3010000,0.740000,0.140000,0.136364,0.085714,0.914286
3250000,0.170000,0.160000,0.916667,0.142857,0.857143
3500000,0.490000,0.290000,0.551282,0.012987,0.987013
3750000,0.240000,0.200000,0.828571,0.093750,0.906250
4000000,0.290000,0.250000,0.863636,0.047619,0.952381
4250000,0.540000,0.490000,0.745763,0.180000,0.820000
4500000,0.870000,0.620000,0.718310,0.126984,0.873016
4750000,0.390000,0.310000,0.803279,0.089286,0.910714
5000000,0.700000,0.570000,0.730000,0.111111,0.888889
5250000,0.640000,0.330000,0.550000,0.052632,0.947368
5500000,0.940000,0.360000,0.031529,0.001788,0.998212
5750000,0.310000,0.250000,0.444444,0.094595,0.905405
6000000,0.620000,0.430000,0.545455,0.057692,0.942308
