/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run snphsh0j
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251118_112059-snphsh0j
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/snphsh0j
Using device: cuda
[Episode 0] Steps: 41 | Survival: 2/4 | Mean Reward: 0.33 | Collisions: 23 | Kills: 2
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/epsilon_decay_20251118_112056/collision-10-energy-200-epsilon-decay/key_models_ep0_kills2
[Key Model Saved] Episode 0: New record of 2 kills!
[Episode 1] Steps: 35 | Survival: 2/4 | Mean Reward: 0.16 | Collisions: 24 | Kills: 1
[Episode 2] Steps: 35 | Survival: 3/4 | Mean Reward: 0.55 | Collisions: 30 | Kills: 1
[Episode 3] Steps: 35 | Survival: 2/4 | Mean Reward: -0.34 | Collisions: 23 | Kills: 0
[Episode 4] Steps: 40 | Survival: 3/4 | Mean Reward: -0.05 | Collisions: 30 | Kills: 0
[Episode 5] Steps: 33 | Survival: 3/4 | Mean Reward: -0.29 | Collisions: 33 | Kills: 2
[Episode 6] Steps: 36 | Survival: 3/4 | Mean Reward: 1.17 | Collisions: 27 | Kills: 0
[Episode 7] Steps: 41 | Survival: 3/4 | Mean Reward: 0.65 | Collisions: 30 | Kills: 0
[Episode 8] Steps: 37 | Survival: 3/4 | Mean Reward: 0.38 | Collisions: 17 | Kills: 0
[Episode 9] Steps: 27 | Survival: 3/4 | Mean Reward: -0.89 | Collisions: 32 | Kills: 0
[Episode 10] Steps: 35 | Survival: 3/4 | Mean Reward: 0.47 | Collisions: 24 | Kills: 0
[Episode 11] Steps: 34 | Survival: 3/4 | Mean Reward: 0.14 | Collisions: 28 | Kills: 2
[Episode 12] Steps: 44 | Survival: 3/4 | Mean Reward: 1.43 | Collisions: 21 | Kills: 0
[Episode 13] Steps: 36 | Survival: 3/4 | Mean Reward: 0.72 | Collisions: 23 | Kills: 0
[Episode 14] Steps: 45 | Survival: 3/4 | Mean Reward: 1.28 | Collisions: 31 | Kills: 1
[Episode 15] Steps: 37 | Survival: 3/4 | Mean Reward: 0.17 | Collisions: 22 | Kills: 2
[Episode 16] Steps: 34 | Survival: 3/4 | Mean Reward: -0.63 | Collisions: 25 | Kills: 2
[Episode 17] Steps: 39 | Survival: 3/4 | Mean Reward: 0.48 | Collisions: 27 | Kills: 1
[Episode 18] Steps: 37 | Survival: 3/4 | Mean Reward: -0.24 | Collisions: 30 | Kills: 1
[Episode 19] Steps: 30 | Survival: 3/4 | Mean Reward: 0.56 | Collisions: 20 | Kills: 1
[Episode 20] Steps: 37 | Survival: 3/4 | Mean Reward: 0.87 | Collisions: 29 | Kills: 1
[Episode 21] Steps: 31 | Survival: 3/4 | Mean Reward: -0.49 | Collisions: 41 | Kills: 4
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/epsilon_decay_20251118_112056/collision-10-energy-200-epsilon-decay/key_models_ep21_kills4
[Key Model Saved] Episode 21: New record of 4 kills!
[Episode 22] Steps: 40 | Survival: 3/4 | Mean Reward: 0.97 | Collisions: 19 | Kills: 0
[Episode 23] Steps: 35 | Survival: 3/4 | Mean Reward: 0.34 | Collisions: 27 | Kills: 0
[Episode 24] Steps: 35 | Survival: 3/4 | Mean Reward: 0.13 | Collisions: 24 | Kills: 1
[Episode 25] Steps: 29 | Survival: 3/4 | Mean Reward: -0.11 | Collisions: 23 | Kills: 1
[Episode 26] Steps: 31 | Survival: 3/4 | Mean Reward: 0.19 | Collisions: 25 | Kills: 1
[Episode 27] Steps: 40 | Survival: 3/4 | Mean Reward: 1.05 | Collisions: 17 | Kills: 0
[Episode 28] Steps: 37 | Survival: 3/4 | Mean Reward: 1.80 | Collisions: 31 | Kills: 1
[Episode 29] Steps: 41 | Survival: 3/4 | Mean Reward: 2.99 | Collisions: 33 | Kills: 1
[Episode 30] Steps: 42 | Survival: 3/4 | Mean Reward: 3.17 | Collisions: 29 | Kills: 6
