total_charges_per_episode,mean_episode_reward,total_agent_collisions_per_episode,_timestamp,robot_2/loss,_step,robot_0/q_std,epsilon,robot_3/loss,_runtime,robot_0/loss,global_step,robot_3/q_std,survival_rate,episode,episode_length,robot_0/q_mean,robot_1/q_std,robot_2/q_std,total_kills_per_episode,robot_3/q_mean,mean_final_energy,std_episode_reward,robot_2/q_mean,robot_1/q_mean,robot_1/loss
11.0,0.44999999999999984,16.0,1763455463.5886383,,0,,1.0,,17.528572718,,30,,3.0,0.0,30.0,,,,0.0,,27.75,0.6259792328823696,,,
4.0,-0.605,19.0,1763455463.776858,,7,,0.9655206468094844,,17.71625771,,212,,3.0,7.0,25.0,,,,1.0,,14.75,0.7797595783316804,,,
14.0,0.9600000000000004,13.0,1763455463.7814078,,8,,0.960693043575437,,17.720828722,,238,,3.0,8.0,26.0,,,,0.0,,45.25,1.0530432089900208,,,
4.0,-0.595,12.0,1763455463.9223604,,28,,0.8690529955452602,,17.861798811,,798,,3.0,28.0,25.0,,,,2.0,,15.75,0.7243790444235672,,,
6.0,-0.26750000000000007,17.0,1763455463.9615982,,33,,0.8475428503023453,,17.901071781,,934,,3.0,33.0,22.0,,,,2.0,,26.5,0.534152365903213,,,
11.0,0.6475,8.0,1763455464.8022485,,41,,0.8307187014821328,,18.742390619,,1026,,3.0,37.0,22.0,,,,1.0,,55.5,1.3520054548706524,,,
20.0,1.685,20.0,1763455469.162422,,47,,0.8061065909263957,,23.10260241,,1208,,3.0,43.0,28.0,,,,4.0,,40.75,0.8612345789620852,,,
46.0,5.0100000000000025,20.0,1763455482.8184865,,64,,0.7402609576967045,,36.758943118,,1765,,3.0,60.0,43.0,,,,1.0,,33.25,3.0007748999216877,,,
,,,1763455488.5641918,,74,,,0.035665396600961685,42.503985316,,2000,0.4898754954338074,,,,,,,,1.0241591930389404,,,,,
49.0,5.452500000000004,13.0,1763455490.710731,,77,,0.7076077347272662,,44.650932165,,2090,,3.0,69.0,37.0,,,,1.0,,46.0,1.8412410895914753,,,
37.0,3.7325000000000017,24.0,1763455498.9007754,,85,,0.6797938283326578,,52.841005326,,2415,,3.0,77.0,39.0,,,,0.0,,22.0,1.5093935040273638,,,
67.0,7.770000000000005,22.0,1763455502.9820175,,88,,0.6696478204705644,,56.92224037,,2556,,3.0,80.0,62.0,,,,0.0,,27.75,1.6953023329188226,,,
42.0,4.392500000000002,21.0,1763455516.0066679,,102,,0.6369088258938781,,69.946913214,,3063,,3.0,90.0,43.0,,,,2.0,,21.5,1.165555125251484,,,
49.0,5.727500000000003,20.0,1763455518.6563382,,104,,0.6305556603555866,,72.596413857,,3173,,3.0,92.0,35.0,,,,0.0,,75.5,2.8780494696929746,,,
77.0,9.075000000000006,21.0,1763455557.089928,,133,,0.5562889678716474,,111.030202627,,4770,,3.0,117.0,57.0,,,,1.0,,38.25,2.220377220203813,,,
,,,1763455562.6585646,,136,,,,116.598396859,,5000,,,,,,0.7993043065071106,,,,,,,2.540679454803467,0.02312619611620903
175.0,22.102500000000003,35.0,1763455570.3729095,,147,,0.5290920728090721,,124.312785069,,5579,,3.0,127.0,108.0,,,,0.0,,65.0,1.4411692301738859,,,
167.0,20.922500000000003,29.0,1763455574.573893,,149,,0.5238143793828016,,128.514111408,,5758,,3.0,129.0,102.0,,,,1.0,,53.0,1.316479680815468,,,
181.0,23.062500000000004,24.0,1763455577.4845583,,150,,0.5211953074858876,,131.42474416,,5872,,3.0,130.0,114.0,,,,0.0,,80.0,2.7469380681041904,,,
292.0,37.36749999999998,40.0,1763455581.4924757,,155,,0.5185893309484582,,135.432688024,,6031,,3.0,131.0,159.0,,,,0.0,,78.0,3.38207314379805,,,
87.0,10.780000000000006,22.0,1763455583.4589307,,157,,0.5134164023722473,,137.399021295,,6151,,3.0,133.0,51.0,,,,0.0,,89.75,3.8886051483790447,,,
455.0,58.30499999999998,40.0,1763455621.8117602,,172,,0.4858739637363176,,175.752020529,,7693,,3.0,144.0,238.0,,,,0.0,,55.25,5.360207551951687,,,
202.0,25.695000000000007,18.0,1763455656.3412151,,195,,0.4506816115185697,,210.281444783,,9120,,3.0,159.0,98.0,,,,0.0,,96.75,5.365559150731641,,,
,,,1763455677.7131548,0.07884261757135391,203,,,,231.653042531,,10000,,,,,,,0.6230338215827942,,,,,4.695991516113281,,
,,,1763455697.7593937,,213,,,0.045878224074840546,251.699137829,,11000,0.65752112865448,,,,,,,,5.9358015060424805,,,,,
419.0,53.884999999999984,36.0,1763455708.565967,,217,,0.42013897252428334,,262.506285234,,11444,,3.0,173.0,204.0,,,,0.0,,97.25,3.665791183360051,,,
,,,1763455752.340592,,228,0.728111982345581,,,306.280448453,0.03729477897286415,13000,,,,,6.064237594604492,,,,,,,,,
1148.0,148.4850000000002,51.0,1763455778.4253592,,233,,0.4036245882390106,,332.365466144,,13975,,4.0,181.0,500.0,,,,0.0,,148.5,6.15753806321967,,,
,,,1763455803.3878934,,242,,,,357.327660894,,15000,,,,,,0.6973955035209656,,,,,,,7.849950790405273,0.04030222073197365
,,,1763455827.9515407,,248,,,,381.891328695,,16000,,,,,,1.6516823768615723,,,,,,,8.00347900390625,0.039242666214704514
1156.0,149.16250000000014,61.0,1763455840.3598912,,251,,0.39166620452737816,,394.300159023,,16483,,4.0,187.0,500.0,,,,0.0,,116.25,5.566185296053197,,,
1109.0,143.50250000000008,83.0,1763455868.5034676,,259,,0.38389143477919885,,422.443657234,,17619,,4.0,191.0,500.0,,,,0.0,,137.75,4.935313439894085,,,
1179.0,152.22250000000017,47.0,1763455895.889039,,265,,0.3800621177172763,,449.829291302,,18619,,4.0,193.0,500.0,,,,0.0,,134.75,6.4944336743091196,,,
548.0,70.51750000000001,46.0,1763455926.2429867,,273,,0.37251769488706843,,480.183195591,,19774,,3.0,197.0,252.0,,,,0.0,,100.0,1.8464069838473025,,,
,,,1763455931.7090178,,274,0.6876058578491211,,,485.649110758,0.05288602039217949,20000,,,,,9.290101051330566,,,,,,,,,
,,,1763455956.4599762,,283,,,,510.399753016,,21000,,,,,,0.8337308764457703,,,,,,,10.80703353881836,0.09044995903968811
,,,1763455981.1028879,,292,,,0.04091870039701462,535.0425372,,22000,0.8250486850738525,,,,,,,,10.843120574951172,,,,,
1208.0,156.00000000000017,53.0,1763456059.1614025,,321,,0.33698341088258443,,613.101635159,,26435,,4.0,217.0,500.0,,,,0.0,,150.0,5.279678020485714,,,
,,,1763456073.0350146,,324,,,,626.974866236,,27000,,,,,,0.8304687738418579,,,,,,,13.431952476501465,0.04069499671459198
321.0,41.15499999999999,18.0,1763456074.9645593,,327,,0.33362200135903064,,628.904750924,,27080,,3.0,219.0,145.0,,,,0.0,,108.25,7.021162653008395,,,
,,,1763456097.74199,,330,0.7221373915672302,,,651.682035643,0.04383170232176781,28000,,,,,12.569254875183105,,,,,,,,,
,,,1763456097.755553,0.023213794454932213,332,,,,651.695367737,,28000,,,,,,,0.574859619140625,,,,,12.880250930786133,,
,,,1763456122.762452,,337,0.6478421688079834,,,676.70227878,0.04558241367340088,29000,,,,,13.091676712036133,,,,,,,,,
,,,1763456122.7837062,,340,,,0.04540892690420151,676.723365951,,29000,0.650509774684906,,,,,,,,13.921445846557617,,,,,
,,,1763456243.8599658,,370,0.5161171555519104,,,797.799853047,0.03847270831465721,34000,,,,,14.727066993713379,,,,,,,,,
268.0,34.1375,7.0,1763456248.0979192,,375,,0.3017979588795719,,802.038087802,,34167,,3.0,239.0,104.0,,,,0.0,,110.0,5.781696874620816,,,
1294.0,166.63749999999993,44.0,1763456346.2787118,,396,,0.2884855236625661,,900.218924928,,37916,,4.0,248.0,500.0,,,,0.0,,138.75,9.13067460541655,,,
,,,1763456448.0292652,,425,,,0.060642682015895844,1001.96890423,,42000,0.783358097076416,,,,,,,,18.13717269897461,,,,,
235.0,29.797500000000007,3.0,1763456519.1087017,,441,,0.2649210072611673,,1073.048953026,,44805,,3.0,265.0,89.0,,,,0.0,,103.5,2.256738520520272,,,
1392.0,178.9024999999998,43.0,1763456545.9918256,,447,,0.26227842021373715,,1099.931954784,,45805,,4.0,267.0,500.0,,,,0.0,,140.25,2.735254787035331,,,
,,,1763456550.8097222,0.09769397974014282,450,,,,1104.749403282,,46000,,,,,,,0.5482643246650696,,,,,19.695274353027344,,
436.0,55.73249999999998,19.0,1763456625.7941368,,471,,0.2519690537792925,,1179.73402289,,49006,,3.0,275.0,161.0,,,,0.0,,112.5,6.35196967483314,,,
,,,1763456670.4380696,,481,,,,1224.37778579,,51000,,,,,,0.6211495995521545,,,,,,,21.8193416595459,0.15554724633693695
1474.0,189.20249999999976,16.0,1763456693.1395113,,490,,0.24328132378095624,,1247.079379573,,52121,,4.0,282.0,500.0,,,,0.0,,145.25,5.336526843369064,,,
1416.0,181.99999999999977,46.0,1763456727.342592,,497,,0.23965031961336,,1281.282915872,,53621,,4.0,285.0,500.0,,,,0.0,,150.0,13.0096118312576,,,
448.0,56.91499999999998,31.0,1763456757.8820057,,504,,0.23607350863684065,,1311.822108982,,54792,,3.0,288.0,171.0,,,,0.0,,70.75,9.3314776429031,,,
,,,1763456781.493936,0.049452222883701324,515,,,,1335.433623308,,56000,,,,,,,0.436612606048584,,,,,22.546085357666016,,
349.0,44.542500000000004,9.0,1763456802.917522,,522,,0.22453190559909803,,1356.857695325,,56866,,3.0,298.0,130.0,,,,0.0,,112.0,8.703523352642867,,,
