robot_1/q_std,survival_rate,total_charges_per_episode,robot_0/q_std,mean_final_energy,robot_2/loss,episode_length,_runtime,robot_1/loss,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,_step,global_step,std_episode_reward,robot_0/loss,mean_episode_reward,episode,robot_3/loss,robot_3/q_std,_timestamp,robot_2/q_std,robot_0/q_mean,robot_2/q_mean,robot_1/q_mean
,4.0,0.0,,37.25,,21.0,5.8127545000000005,,,0.0,0.0,0,21,0.9776246723564215,,-0.9200000000000002,0.0,,,1763370520.742684,,,,
,4.0,0.0,,63.0,,27.0,6.173166917,,,0.0,0.0,1,48,4.6633430873140815,,1.1475000000000015,1.0,,,1763370521.107593,,,,
,4.0,0.0,,40.75,,24.0,8.770680792,,,0.0,0.0,7,186,3.1102290912407073,,0.3949999999999996,7.0,,,1763370523.708271,,,,
,4.0,0.0,,16.5,,22.0,9.077387708,,,0.0,0.0,8,208,0.22741756748325317,,-1.4925000000000002,8.0,,,1763370524.0147352,,,,
,4.0,0.0,,35.75,,23.0,9.2830065,,,0.0,0.0,9,231,0.23382685902179848,,-0.915,9.0,,,1763370524.221177,,,,
,4.0,0.0,,54.75,,21.0,9.861516292,,,0.0,0.0,11,277,2.0288790008277973,,-0.12000000000000019,11.0,,,1763370524.798559,,,,
,4.0,0.0,,38.75,,25.0,10.63541425,,,0.0,0.0,14,349,1.8758331482304074,,0.009999999999999898,14.0,,,1763370525.5735848,,,,
,4.0,0.0,,68.75,,27.0,11.232236208,,,0.0,0.0,16,397,4.949734210035929,,2.4524999999999997,16.0,,,1763370526.169682,,,,
,4.0,0.0,,79.0,,25.0,11.478581208,,,0.0,0.0,17,422,3.7089039823106784,,2.4125000000000014,17.0,,,1763370526.4167502,,,,
,4.0,0.0,,43.25,,26.0,11.662606917,,,0.0,0.0,18,448,4.22266503525913,,1.9399999999999997,18.0,,,1763370526.600714,,,,
,4.0,0.0,,45.0,,21.0,11.774472208,,,0.0,0.0,19,469,0.739776148574689,,-0.5925000000000001,19.0,,,1763370526.712859,,,,
,4.0,0.0,,19.5,,26.0,12.820585708,,,0.0,0.0,27,666,1.0027306467840704,,0.20249999999999985,27.0,,,1763370527.758749,,,,
,4.0,0.0,,47.75,,24.0,12.980278042,,,0.0,0.0,28,690,3.628866903042878,,0.7150000000000005,28.0,,,1763370527.918634,,,,
,4.0,0.0,,22.25,,24.0,13.218489833,,,0.0,0.0,30,738,0.47420986915078034,,-1.165,30.0,,,1763370528.1569521,,,,
,4.0,0.0,,20.0,,27.0,13.342649375,,,0.0,0.0,31,765,1.7595667080278603,,-0.28499999999999986,31.0,,,1763370528.281127,,,,
,4.0,0.0,,56.5,,24.0,13.551413542,,,0.0,0.0,33,812,2.3665626444275674,,0.9275,33.0,,,1763370528.489852,,,,
,4.0,0.0,,67.5,,20.0,14.100275708,,,0.0,0.0,38,930,4.101276478122391,,1.1225000000000003,38.0,,,1763370529.0387719,,,,
,,,1.2396825551986694,,,,15.114145375,,,,,41,1000,,2.491196632385254,,,,,1763370530.052628,,0.3004764914512634,,
0.5383485555648804,,,,,,,15.126998167,0.32251933217048645,,,,42,1000,,,,,,,1763370530.065511,,,,0.23731079697608948
,,,,,3.264463424682617,,15.140732375,,,,,43,1000,,,,,,,1763370530.0792892,1.672499656677246,,2.0225508213043213,
,,,,,,,15.153594292,,1.5957876443862915,,,44,1000,,,,,1.0110350847244263,1.0491328239440918,1763370530.092031,,,,
,4.0,0.0,,46.25,,27.0,15.603392875,,,0.0,0.0,45,1008,1.2966953188779542,,-0.02250000000000041,41.0,,,1763370530.541749,,,,
,4.0,0.0,,85.75,,24.0,17.137640167,,,0.0,0.0,46,1032,4.113009846815347,,1.9700000000000002,42.0,,,1763370532.075722,,,,
,4.0,0.0,,113.25,,24.0,18.767321,,,0.0,0.0,47,1056,3.9260476308878376,,3.3699999999999997,43.0,,,1763370533.705183,,,,
,4.0,0.0,,97.75,,39.0,24.489218667,,,0.0,0.0,48,1095,2.8149111886523186,,4.365000000000002,44.0,,,1763370539.4101381,,,,
,4.0,0.0,,119.0,,47.0,45.068033625,,,0.0,0.0,52,1390,5.102398333137076,,7.907500000000001,48.0,,,1763370560.007338,,,,
,4.0,0.0,,79.0,,61.0,53.748118333,,,0.0,0.0,54,1528,6.44243112109086,,10.022500000000004,50.0,,,1763370568.6876621,,,,
,4.0,0.0,,143.0,,131.0,65.516844875,,,0.0,0.0,55,1659,10.882031921934434,,32.862500000000004,51.0,,,1763370580.455939,,,,
,4.0,0.0,,50.25,,215.0,85.623899667,,,0.0,0.0,58,1938,16.039665676066875,,47.02499999999997,54.0,,,1763370600.563733,,,,
0.5193871855735779,,,,,,,88.78763275,0.012006733566522598,,,,60,2000,,,,,,,1763370603.728148,,,,1.059913158416748
,,,,,0.023507922887802124,,88.801810583,,,,,61,2000,,,,,,,1763370603.742383,0.9329975247383118,,2.6202235221862793,
,4.0,0.0,,103.75,,105.0,97.614963125,,,0.0,0.0,64,2171,7.104711464936492,,26.835000000000008,56.0,,,1763370612.555671,,,,
