robot_0/loss,total_kills_per_episode,robot_1/q_std,global_step,robot_2/q_mean,robot_1/loss,robot_3/q_std,robot_3/loss,std_episode_reward,total_charges_per_episode,mean_final_energy,_timestamp,robot_0/q_std,robot_2/q_std,survival_rate,episode_length,total_agent_collisions_per_episode,epsilon,robot_3/q_mean,_step,episode,_runtime,robot_2/loss,robot_0/q_mean,robot_1/q_mean,mean_episode_reward
,2.0,,26,,,,,4.628098961776855,31.0,81.0,1763425898.4908674,,,2.0,26.0,28.0,0.3,,0,0.0,17.817096883,,,,2.940000000000001
,0.0,,198,,,,,1.5065938404228263,5.0,56.25,1763425898.6702132,,,3.0,20.0,12.0,0.3,,7,7.0,17.995897203,,,,-0.6150000000000002
,6.0,,220,,,,,0.26423237878806627,2.0,14.75,1763425898.690667,,,2.0,22.0,27.0,0.3,,8,8.0,18.016340664,,,,-1.3875000000000002
,0.0,,247,,,,,1.1592238782909885,8.0,29.25,1763425898.7233498,,,3.0,27.0,18.0,0.3,,9,9.0,18.049054573,,,,-0.4400000000000001
,1.0,,666,,,,,0.5107837115648854,0.0,50.25,1763425899.136715,,,3.0,20.0,4.0,0.3,,27,27.0,18.462416398,,,,-1.3000000000000003
,0.0,,687,,,,,0.30083217912982674,1.0,37.75,1763425899.1577482,,,3.0,21.0,16.0,0.3,,28,28.0,18.483362487,,,,-1.29
,2.0,,803,,,,,0.7235157220130053,5.0,58.25,1763425899.2885783,,,3.0,21.0,7.0,0.3,,33,33.0,18.614224575,,,,-0.5850000000000002
,0.0,,994,,,,,0.584182120575425,2.0,31.5,1763425899.4806,,,3.0,24.0,15.0,0.3,,41,41.0,18.806321039,,,,-1.1975000000000002
,,,1000,0.21751448512077332,,,,,,,1763425899.7687023,,0.39575961232185364,,,,,,44,,19.094245694,0.28607553243637085,,,
,0.0,,1097,,,,,6.394265008583868,52.0,72.75,1763425901.8410063,,,3.0,47.0,25.0,0.3,,47,43.0,21.167563619,,,,5.695000000000002
,,,2000,,,0.5136915445327759,0.014512226916849613,,,,1763425922.5043077,,,,,,,1.254922866821289,61,,41.830087007,,,,
,0.0,,2335,,,,,7.468123509289369,592.0,140.5,1763425930.4671474,,,3.0,243.0,48.0,0.3,,64,56.0,49.79341642,,,,75.83250000000001
,,0.7091104388237,4000,,0.0051107825711369514,,,,,,1763425970.01501,,,,,,,,74,,89.340814485,,,1.8695385456085205,
,0.0,,4272,,,,,2.956005539575215,1312.0,198.75,1763425976.584428,,,4.0,500.0,40.0,0.3,,77,61.0,95.910700763,,,,168.98749999999995
0.015611755661666393,,,6000,,,,,,,,1763426018.271476,1.0148957967758179,,,,,,,85,,137.597761453,,2.5592503547668457,,
,,,6000,,,0.51727694272995,0.011677145026624203,,,,1763426018.291623,,,,,,,3.5382890701293945,88,,137.617449495,,,,
,,,8000,,,0.5777392387390137,0.0059880404733121395,,,,1763426066.747929,,,,,,,4.586686134338379,102,,186.073668719,,,,
,0.0,,8819,,,,,6.260179709880457,1347.0,190.5,1763426078.4066324,,,4.0,500.0,29.0,0.3,,104,72.0,197.732668279,,,,173.27999999999992
,,,9000,,,0.6009927988052368,0.0077200885862112045,,,,1763426080.7125762,,,,,,,4.966866493225098,109,,200.038330224,,,,
0.058502838015556335,,,12000,,,,,,,,1763426147.4279306,0.8621254563331604,,,,,,,124,,266.754057876,,5.877634048461914,,
,,,13000,6.099262714385986,,,,,,,1763426168.718921,,0.5528687238693237,,,,,,133,,288.04454179,0.020644616335630417,,,
,0.0,,13801,,,,,11.368626786028189,1224.0,197.5,1763426181.1922128,,,4.0,500.0,76.0,0.3,,136,84.0,300.5184304,,,,157.97500000000008
,,,15000,,,0.5461623072624207,0.020464390516281128,,,,1763426209.9960818,,,,,,,8.002361297607422,147,,329.321824122,,,,
,0.0,,15953,,,,,3.4927675273341237,1308.0,191.5,1763426232.7670074,,,4.0,500.0,32.0,0.3,,149,89.0,352.093154181,,,,168.41500000000005
0.02908957004547119,,,16000,,,,,,,,1763426233.9150503,0.7232927680015564,,,,,,,150,,353.241126684,,7.681522369384766,,
,0.0,,16927,,,,,5.454522779308923,1215.0,144.5,1763426255.7057726,,,3.0,474.0,46.0,0.3,,155,91.0,375.03189315,,,,156.05750000000006
,,0.7221861481666565,17000,,0.011569536291062832,,,,,,1763426257.4940164,,,,,,,,157,,376.819737147,,,8.20676326751709,
0.00995131116360426,,,18000,,,,,,,,1763426281.6247582,0.638177216053009,,,,,,,162,,400.950751116,,8.786216735839844,,
,,,19000,8.753158569335938,,,,,,,1763426304.7820363,,0.4265415072441101,,,,,,170,,424.107853307,0.008218921720981598,,,
,0.0,,19254,,,,,5.222692672367305,1331.0,194.75,1763426310.1393337,,,4.0,500.0,40.0,0.3,,172,96.0,429.465589004,,,,171.3225
0.015165548771619797,,,20000,,,,,,,,1763426327.0067928,0.9266865849494934,,,,,,,174,,446.332976025,,9.421201705932617,,
0.028227590024471283,,,21000,,,,,,,,1763426351.3815682,0.7418037056922913,,,,,,,180,,470.707614229,,10.006315231323242,,
0.029131822288036346,,,23000,,,,,,,,1763426399.9532301,1.0490416288375854,,,,,,,193,,519.279385108,,10.645472526550293,,
,,,23000,10.278712272644043,,,,,,,1763426399.9669049,,0.4970569908618927,,,,,,195,,519.292686515,0.016296228393912315,,,
,0.0,,23567,,,,,5.988607413247166,1328.0,198.25,1763426413.759977,,,4.0,500.0,26.0,0.3,,198,106.0,533.086156647,,,,170.98249999999996
,0.0,,24067,,,,,5.068286199495769,1334.0,194.5,1763426426.0500448,,,4.0,500.0,29.0,0.3,,203,107.0,545.376265194,,,,171.69499999999994
0.003699563443660736,,,26000,,,,,,,,1763426470.4548805,1.0560952425003052,,,,,,,213,,589.780804392,,11.916109085083008,,
,,,26000,11.691377639770508,,,,,,,1763426470.4625187,,0.6465125679969788,,,,,,215,,589.788233108,0.017504040151834488,,,
,0.0,,26225,,,,,10.6072696180498,1237.0,148.25,1763426475.7441745,,,4.0,500.0,56.0,0.3,,217,113.0,595.070344208,,,,159.10749999999993
,,,28000,,,0.6545643210411072,0.024788353592157364,,,,1763426518.5746427,,,,,,,13.399553298950195,228,,637.900393838,,,,
,,,29000,12.916473388671875,,,,,,,1763426543.0326495,,0.5637876391410828,,,,,,233,,662.358499198,0.020480042323470116,,,
,0.0,,30567,,,,,6.238170304664606,1279.0,197.25,1763426581.251453,,,4.0,500.0,48.0,0.3,,242,122.0,700.577512841,,,,164.84750000000005
,2.0,,31498,,,,,6.13635274409807,1040.0,106.75,1763426601.61586,,,3.0,431.0,56.0,0.3,,248,124.0,720.941777168,,,,133.37500000000028
,,0.5312420129776001,32000,,0.022893104702234268,,,,,,1763426608.1481266,,,,,,,,251,,727.473750361,,,14.636526107788086,
,,,33000,,,0.44152894616127014,0.00766371563076973,,,,1763426629.731908,,,,,,,15.412005424499512,259,,749.057675598,,,,
,,0.7923619151115417,34000,,0.033662229776382446,,,,,,1763426653.7565625,,,,,,,,265,,773.082403999,,,15.648609161376953,
0.014411061070859432,,,35000,,,,,,,,1763426677.243142,1.365272879600525,,,,,,,270,,796.569110952,,15.349039077758789,,
,,,35000,15.321885108947754,,,,,,,1763426677.255079,,0.37805667519569397,,,,,,272,,796.580773387,0.011351777240633965,,,
,,,35000,,,0.5320951342582703,0.008661123923957348,,,,1763426677.2609224,,,,,,,16.028980255126953,273,,796.586660573,,,,
,0.0,,35093,,,,,4.590394863189902,385.0,105.25,1763426679.497663,,,3.0,163.0,29.0,0.3,,274,134.0,798.823958421,,,,48.80499999999999
,,,36000,15.369128227233887,,,,,,,1763426701.746909,,0.6864293813705444,,,,,,279,,821.072609649,0.06052069365978241,,,
0.014868018217384815,,,37000,,,,,,,,1763426725.9358442,0.709754228591919,,,,,,,283,,845.261950524,,16.23461151123047,,
,,,38000,,,0.46864381432533264,0.0094597227871418,,,,1763426750.0549614,,,,,,,16.80571746826172,292,,869.380744379,,,,
0.018623631447553635,,,40000,,,,,,,,1763426800.7327297,0.7202645540237427,,,,,,,302,,920.059157488,,17.477075576782227,,
,0.0,,43000,,,,,12.529600951347003,1235.0,193.5,1763426875.1510715,,,4.0,500.0,53.0,0.3,,321,153.0,994.477872419,,,,159.31000000000006
,,,43000,18.023420333862305,,,,,,,1763426875.17708,,0.5639119744300842,,,,,,324,,994.502834216,0.011540298350155354,,,
,0.0,,43727,,,,,6.411423398902971,576.0,143.25,1763426892.2557907,,,3.0,227.0,34.0,0.3,,327,155.0,1011.581995136,,,,73.70000000000003
,,,44000,18.03680419921875,,,,,,,1763426898.8718297,,0.4792965054512024,,,,,,330,,1018.197611347,0.0296686552464962,,,
,0.0,,44227,,,,,3.6556625596463936,1274.0,195.25,1763426904.3955662,,,4.0,500.0,45.0,0.3,,332,156.0,1023.721570732,,,,164.20250000000004
,,,45000,18.632047653198242,,,,,,,1763426923.0104554,,0.42861297726631165,,,,,,337,,1042.336043935,0.008875447325408459,,,
,0.0,,45839,,,,,7.65138059437637,1272.0,183.5,1763426936.8674078,,,4.0,500.0,66.0,0.3,,340,160.0,1056.193522271,,,,163.8350000000001
0.03158979117870331,,,48000,,,,,,,,1763426979.1800973,0.5804873704910278,,,,,,,353,,1098.506199732,,20.450756072998047,,
,,1.0566012859344482,48000,,0.02558869682252407,,,,,,1763426979.1872232,,,,,,,,354,,1098.51304791,,,20.850784301757812,
,0.0,,48635,,,,,8.297115085980208,1196.0,109.25,1763426991.1455715,,,4.0,500.0,101.0,0.3,,358,166.0,1110.471725103,,,,153.5925000000002
,0.0,,50390,,,,,9.60712626127078,1257.0,200.0,1763427028.671057,,,4.0,500.0,48.0,0.3,,370,170.0,1147.997581316,,,,162.12500000000006
,,,51000,,,0.4642992317676544,0.012732175178825855,,,,1763427043.5497658,,,,,,,20.996177673339844,375,,1162.875529202,,,,
,,,54000,,,0.5782648324966431,0.013951954431831837,,,,1763427113.660427,,,,,,,21.620031356811523,396,,1232.9860512,,,,
,0.0,,55993,,,,,4.135984616750928,513.0,146.0,1763427156.1784315,,,3.0,211.0,18.0,0.3,,405,185.0,1275.504324324,,,,65.69250000000001
0.022793782874941826,,,56000,,,,,,,,1763427156.283246,0.5767380595207214,,,,,,,406,,1275.609082647,,22.776634216308594,,
,,0.9391343593597412,56000,,0.01627468317747116,,,,,,1763427156.2873871,,,,,,,,407,,1275.613100878,,,23.332672119140625,
,,1.129699468612671,58000,,0.029188770800828934,,,,,,1763427204.6918883,,,,,,,,421,,1324.017662421,,,23.864463806152344,
,0.0,,58626,,,,,4.097130093126112,1294.0,189.5,1763427219.3915029,,,4.0,500.0,54.0,0.3,,425,193.0,1338.718150562,,,,166.64500000000007
,,,59000,22.860260009765625,,,,,,,1763427228.4749885,,0.4119502007961273,,,,,,429,,1347.800624281,0.007359649054706097,,,
,,,59000,,,1.275326132774353,0.12227131426334381,,,,1763427228.4813728,,,,,,,23.049028396606445,430,,1347.807048492,,,,
,,1.1705703735351562,61000,,0.031337447464466095,,,,,,1763427270.944168,,,,,,,,441,,1390.269862141,,,24.929656982421875,
,,1.075978398323059,62000,,0.017255835235118866,,,,,,1763427283.8246112,,,,,,,,447,,1403.150448256,,,25.051925659179688,
,0.0,,62181,,,,,5.359540558667342,1264.0,191.5,1763427288.0619879,,,4.0,500.0,34.0,0.3,,450,202.0,1407.388135685,,,,162.91499999999996
,0.0,,63681,,,,,4.8114135137191925,1338.0,196.0,1763427324.6722322,,,4.0,500.0,32.0,0.3,,457,205.0,1443.998447593,,,,172.20999999999998
0.028111562132835388,,,66000,,,,,,,,1763427380.7793734,1.0474903583526611,,,,,,,471,,1500.105425251,,25.06061553955078,,
,,1.0791494846343994,66000,,0.11942724883556366,,,,,,1763427380.786213,,,,,,,,472,,1500.112041182,,,25.874624252319336,
,,,67000,,,0.7971020340919495,0.02573717013001442,,,,1763427405.2338407,,,,,,,25.69117546081543,481,,1524.561453893,,,,
0.03306131064891815,,,69000,,,,,,,,1763427453.8209805,0.6158269643783569,,,,,,,490,,1573.147171358,,26.044979095458984,,
0.015071053057909012,,,70000,,,,,,,,1763427469.436665,0.5264382362365723,,,,,,,497,,1588.762669936,,26.341339111328125,,
,0.0,,70969,,,,,6.6097673937893715,1328.0,168.5,1763427490.6934574,,,4.0,500.0,40.0,0.3,,504,224.0,1610.019908521,,,,170.685
0.48449695110321045,,,71000,,,,,,,,1763427491.4174736,0.7202684879302979,,,,,,,505,,1610.743576304,,26.510427474975586,,
,0.0,,72377,,,,,3.824999183006321,1276.0,177.75,1763427522.6418905,,,4.0,500.0,48.0,0.3,,515,227.0,1641.968120956,,,,164.27750000000006
,2.0,,73045,,,,,10.936981702005367,459.0,138.0,1763427538.2416353,,,3.0,189.0,43.0,0.3,,522,230.0,1657.567838133,,,,58.642499999999956
,0.0,,74774,,,,,1.8898214201346282,1277.0,190.0,1763427580.0238585,,,4.0,500.0,53.0,0.3,,530,234.0,1699.350017368,,,,164.52500000000006
,,,75000,,,1.556312918663025,0.11246545612812042,,,,1763427585.519419,,,,,,,27.377422332763672,534,,1704.845210026,,,,
,,1.2606955766677856,76000,,0.05869968980550766,,,,,,1763427600.1063962,,,,,,,,539,,1719.432140603,,,28.662458419799805,
,,2.5320372581481934,77000,,0.02177932858467102,,,,,,1763427618.585397,,,,,,,,547,,1737.911063057,,,28.904521942138672,
,0.0,,77318,,,,,10.566495102445137,1285.0,189.25,1763427622.0966387,,,4.0,500.0,53.0,0.3,,550,242.0,1741.422506464,,,,165.5175000000001
,,,78000,,,1.2222285270690918,0.052590034902095795,,,,1763427629.519346,,,,,,,28.379638671875,555,,1748.84484423,,,,
,,2.0666093826293945,79000,,0.08314922451972961,,,,,,1763427645.2843814,,,,,,,,559,,1764.610202057,,,29.711143493652344,
,,,80000,,,2.2839138507843018,0.06925439834594727,,,,1763427669.6233273,,,,,,,29.066938400268555,567,,1788.948816428,,,,
,0.0,,80202,,,,,4.427651747822862,1261.0,166.5,1763427674.4478471,,,4.0,500.0,58.0,0.3,,568,248.0,1793.773933257,,,,162.2900000000001
,1.0,,80671,,,,,7.498657796566077,817.0,83.5,1763427685.889736,,,3.0,334.0,43.0,0.3,,570,250.0,1805.21597696,,,,104.29750000000013
,,,81000,28.454368591308594,,,,,,,1763427693.7162623,,0.6919028162956238,,,,,,573,,1813.042047973,0.1573925018310547,,,
,0.0,,83362,,,,,9.977442056960392,708.0,89.25,1763427749.0062356,,,3.0,312.0,80.0,0.3,,589,257.0,1868.332464664,,,,90.51000000000013
,,,84000,29.513187408447266,,,,,,,1763427764.7602475,,0.6392076015472412,,,,,,593,,1884.086026938,0.03237022086977959,,,
,0.0,,84156,,,,,9.601150972669833,1301.0,190.5,1763427768.6051512,,,4.0,500.0,45.0,0.3,,595,259.0,1887.931274946,,,,167.53000000000011
,,2.1060879230499268,87000,,0.07010504603385925,,,,,,1763427834.705748,,,,,,,,612,,1954.031322238,,,31.137317657470703,
,,,87000,,,1.7594413757324219,0.06384354829788208,,,,1763427834.7157316,,,,,,,30.853416442871094,614,,1954.04122047,,,,
,,,89000,30.522987365722656,,,,,,,1763427882.230387,,0.6007753014564514,,,,,,627,,2001.556125327,0.05402868986129761,,,
,0.0,,89643,,,,,9.428521888397864,1230.0,174.5,1763427893.3742936,,,4.0,500.0,86.0,0.3,,630,274.0,2012.700489743,,,,158.49499999999995
,,,90000,,,0.6613907814025879,0.048995502293109894,,,,1763427902.0723097,,,,,,,31.453617095947266,636,,2021.398052966,,,,
,0.0,,90787,,,,,4.143720399592651,1320.0,198.25,1763427920.9364524,,,4.0,500.0,39.0,0.3,,639,279.0,2040.26262267,,,,169.98250000000002
0.03798568621277809,,,91000,,,,,,,,1763427926.024982,1.1738899946212769,,,,,,,640,,2045.351116075,,31.403139114379883,,
,,1.0216072797775269,92000,,0.10925589501857758,,,,,,1763427950.706495,,,,,,,,647,,2070.032332929,,,32.748870849609375,
,0.0,,92087,,,,,4.638590168359276,1247.0,192.25,1763427952.836771,,,4.0,500.0,43.0,0.3,,650,282.0,2072.16300353,,,,160.79750000000007
,2.0,,94170,,,,,4.660464032690371,901.0,126.25,1763428000.5950696,,,3.0,357.0,47.0,0.3,,664,288.0,2119.921172106,,,,115.45500000000024
,,2.272709608078003,97000,,0.5702944993972778,,,,,,1763428065.5265737,,,,,,,,680,,2184.852385138,,,33.52494812011719,
,0.0,,97184,,,,,7.088183829444612,186.0,118.25,1763428070.0900066,,,3.0,85.0,30.0,0.3,,684,296.0,2189.416192168,,,,23.280000000000012
0.021750841289758682,,,98000,,,,,,,,1763428090.332878,0.8615823984146118,,,,,,,689,,2209.658988458,,32.978965759277344,,
,,,98000,,,0.9139198064804077,0.06321485340595245,,,,1763428090.3535268,,,,,,,33.229801177978516,692,,2209.679324434,,,,
,,,99000,32.3120002746582,,,,,,,1763428114.7194579,,0.7781951427459717,,,,,,698,,2234.044932909,0.0465075746178627,,,
,0.0,,99292,,,,,5.1313856559412905,279.0,145.5,1763428121.7511177,,,3.0,122.0,20.0,0.3,,702,306.0,2241.07725482,,,,35.54749999999999
,2.0,,99478,,,,,6.030831203076425,405.0,103.25,1763428126.2357924,,,3.0,186.0,40.0,0.3,,703,307.0,2245.561836563,,,,51.51499999999995
,,,100000,32.81591796875,,,,,,,1763428138.9063823,,0.7273041605949402,,,,,,707,,2258.232183061,0.09305627644062042,,,
,,,102000,,,0.795407772064209,0.05501332879066467,,,,1763428187.0529776,,,,,,,33.945281982421875,721,,2306.378682794,,,,
0.1087547168135643,,,103000,,,,,,,,1763428211.090347,1.301279067993164,,,,,,,725,,2330.416436341,,34.264774322509766,,
,0.0,,103408,,,,,7.401339405810297,1208.0,194.5,1763428220.9746192,,,4.0,500.0,50.0,0.3,,729,317.0,2340.300525812,,,,155.94500000000002
,0.0,,103908,,,,,6.598863538519247,1274.0,195.0,1763428232.8358812,,,4.0,500.0,33.0,0.3,,730,318.0,2352.16197517,,,,164.19999999999993
,0.0,,106669,,,,,6.624182968487433,1240.0,196.0,1763428288.6080008,,,4.0,500.0,65.0,0.3,,750,326.0,2407.933938207,,,,159.96000000000015
,0.0,,107301,,,,,10.753511926342922,278.0,147.5,1763428301.6145816,,,3.0,117.0,31.0,0.3,,757,329.0,2420.940857796,,,,35.3925
,,,108000,34.395565032958984,,,,,,,1763428318.481387,,1.724861979484558,,,,,,762,,2437.807137044,0.7348425388336182,,,
,0.0,,108402,,,,,8.372784408427117,307.0,113.0,1763428328.1962981,,,3.0,139.0,40.0,0.3,,767,335.0,2447.522453011,,,,38.892499999999984
,,,109000,34.010040283203125,,,,,,,1763428342.6743596,,2.990870475769043,,,,,,771,,2462.000133973,10.875863075256348,,,
,0.0,,109022,,,,,8.135459421569214,1345.0,190.5,1763428343.2063515,,,4.0,500.0,28.0,0.3,,773,337.0,2462.532403495,,,,173.02999999999994
,0.0,,109522,,,,,3.3231413978343243,1334.0,188.75,1763428355.3036916,,,4.0,500.0,30.0,0.3,,774,338.0,2474.629917123,,,,171.63749999999993
0.05217604339122772,,,110000,,,,,,,,1763428366.4440315,0.8376994132995605,,,,,,,775,,2485.7703221,,34.6448860168457,,
,0.0,,111882,,,,,12.114344802753505,769.0,105.75,1763428410.796405,,,3.0,319.0,43.0,0.3,,788,344.0,2530.122623314,,,,98.37000000000015
