global_step,robot_2/q_std,mean_episode_reward,robot_1/q_mean,episode,robot_2/loss,robot_0/q_std,_runtime,robot_3/q_std,robot_2/q_mean,robot_3/q_mean,mean_final_energy,robot_1/loss,robot_0/loss,epsilon,_timestamp,robot_1/q_std,total_agent_collisions_per_episode,episode_length,total_kills_per_episode,robot_3/loss,robot_0/q_mean,total_charges_per_episode,_step,survival_rate,std_episode_reward
41,,0.3324999999999998,,0.0,,,17.65215257,,,,30.25,,,1.0,1763436079.0244253,,23.0,41.0,2.0,,,13.0,0,2.0,0.39353367073225104
296,,0.65,,7.0,,,17.846568133,,,,49.25,,,0.9655206468094844,1763436079.2194076,,30.0,41.0,0.0,,,14.0,7,3.0,0.8559497648810938
333,,0.37500000000000006,,8.0,,,17.852925391,,,,38.25,,,0.960693043575437,1763436079.2259762,,17.0,37.0,0.0,,,13.0,8,3.0,1.1227087779117075
1000,,,0.20910125970840454,,,,18.305053937,,,,,1.3783512115478516,,,1763436079.6779218,0.6815205812454224,,,,,,,28,,
1087,,2.9850000000000003,,29.0,,,20.222704985,,,,57.75,,,0.8647077305675338,1763436081.5940833,,33.0,41.0,1.0,,,32.0,33,3.0,2.2545564974069747
1439,,3.24,,37.0,,,28.40123579,,,,53.25,,,0.8307187014821328,1763436089.7734752,,30.0,46.0,4.0,,,34.0,41,3.0,1.839592346146287
1704,,3.8950000000000014,,43.0,,,34.680522557,,,,55.25,,,0.8061065909263957,1763436096.052926,,19.0,47.0,0.0,,,39.0,47,3.0,1.8334462086464396
2296,,5.240000000000003,,56.0,,,46.677219098,,,,79.25,,,0.7552531090661897,1763436108.049623,,19.0,45.0,0.0,,,48.0,64,3.0,2.531916270337549
2823,,7.332500000000007,,66.0,,,54.131405826,,,,47.5,,,0.7183288830986236,1763436115.503728,,31.0,61.0,1.0,,,66.0,74,3.0,1.8040839088024723
2982,,3.2175000000000007,,69.0,,,56.868722609,,,,70.5,,,0.7076077347272662,1763436118.2412796,,28.0,39.0,1.0,,,33.0,77,3.0,1.7109408961153516
3225,,5.535000000000003,,73.0,,,61.31018055,,,,64.25,,,0.6935613678313175,1763436122.682705,,26.0,52.0,0.0,,,51.0,85,3.0,1.8660318861155631
3429,,8.225000000000005,,76.0,,,66.022168141,,,,72.25,,,0.6832098777212641,1763436127.3945851,,28.0,63.0,0.0,,,71.0,88,3.0,2.3928696161721827
4068,,11.170000000000009,,86.0,,,80.850427867,,,,48.75,,,0.6498078359349755,1763436142.222846,,29.0,81.0,0.0,,,95.0,102,3.0,3.389535366388736
4171,,4.712500000000002,,88.0,,,83.35397493400001,,,,59.0,,,0.6433260027715241,1763436144.7263734,,18.0,50.0,0.0,,,45.0,104,3.0,1.9116010959402603
6000,0.6397275328636169,,,,0.06146812438964844,,125.993960195,,2.43379282951355,,,,,,1763436187.3667786,,,,,,,,133,,
6097,,14.875000000000009,,112.0,,,128.278380823,,,,64.25,,,0.5704072587541458,1763436189.6506698,,28.0,86.0,0.0,,,123.0,136,3.0,4.456256837301909
7000,0.7886539101600647,,,,0.037842847406864166,,149.424328822,,2.9226882457733154,,,,,,1763436210.7970905,,,,,,,,147,,
7027,,24.372500000000002,,121.0,,,150.052152415,,,,72.0,,,0.5452463540625918,1763436211.4246173,,43.0,128.0,0.0,,,195.0,149,3.0,3.9863791528152395
7150,,24.732499999999998,,122.0,,,153.011343738,,,,63.0,,,0.5425201222922789,1763436214.3839276,,36.0,123.0,1.0,,,199.0,150,3.0,3.601064946651188
7724,,13.320000000000007,,127.0,,,166.632285862,,,,85.25,,,0.5290920728090721,1763436228.0047781,,26.0,72.0,0.0,,,110.0,155,3.0,4.450095504593131
7904,,20.742500000000003,,129.0,,,170.859746845,,,,94.5,,,0.5238143793828016,1763436232.2320929,,30.0,105.0,2.0,,,166.0,157,3.0,3.8105011153390254
9000,,,,,,0.6357781291007996,196.645261805,,,,,,0.01709566079080105,,1763436258.0178688,,,,,,4.226653099060059,,172,,
11000,0.6182294487953186,,,,0.03318316116929054,,236.056103384,,5.062165260314941,,,,,,1763436297.4290876,,,,,,,,195,,
12000,0.6540607810020447,,,,0.06335821747779846,,257.158209036,,5.740177154541016,,,,,,1763436318.5310478,,,,,,,,203,,
13000,,,6.435117721557617,,,,280.663340293,,,,,0.031808823347091675,,,1763436342.0360987,0.726514458656311,,,,,,,213,,
13612,,123.29000000000013,,165.0,,,295.165269535,,,,95.25,,,0.43732904629000013,1763436356.5377486,,84.0,484.0,0.0,,,956.0,217,3.0,4.381592176366987
15000,0.9783851504325867,,,,0.12972687184810638,,328.397448744,,6.98075008392334,,,,,,1763436389.7702248,,,,,,,,228,,
15930,,57.52500000000002,,173.0,,,350.192361744,,,,139.25,,,0.42013897252428334,1763436411.5647929,,51.0,226.0,0.0,,,447.0,233,3.0,1.5045680443237033
17000,0.7620453238487244,,,,0.049934063106775284,,376.049453258,,8.158212661743164,,,,,,1763436437.4222777,,,,,,,,242,,
18000,,,9.355156898498535,,,,399.683002304,,,,,0.026532307267189026,,,1763436461.055763,0.9086350202560425,,,,,,,248,,
18128,,140.0200000000002,,179.0,,,402.772102248,,,,177.0,,,0.40769130904675194,1763436464.1444273,,65.0,500.0,0.0,,,1082.0,251,4.0,4.438541427090647
20000,,,,,,0.6932872533798218,447.889409115,,,,,,0.0364406481385231,,1763436509.261879,,,,,,9.230387687683105,,259,,
21000,,,,,,0.6041470170021057,472.022848537,,,,,,0.0899985060095787,,1763436533.3953047,,,,,,9.74612045288086,,265,,
22000,,,11.322742462158203,,,,496.025820564,,,,,0.04321181774139404,,,1763436557.3985431,0.6431580185890198,,,,,,,273,,
22000,0.8774546980857849,,,,0.05029264837503433,,496.032606874,,10.375732421875,,,,,,1763436557.4053721,,,,,,,,274,,
23320,,76.21749999999997,,191.0,,,527.808389286,,,,93.0,,,0.38389143477919885,1763436589.1808796,,61.0,279.0,1.0,,,596.0,283,3.0,3.0133069458652924
25000,,,,,,0.5448365211486816,568.21008703,,,,,,0.024594305083155632,,1763436629.5825393,,,,,,11.708133697509766,,292,,
29000,,,,,,,658.405429278,0.7586874961853027,,13.92791748046875,,,,,1763436719.7782893,,,,,0.028532449156045914,,,321,,
29968,,24.805,,208.0,,,681.862091385,,,,86.25,,,0.35253382661792404,1763436743.2345865,,43.0,107.0,2.0,,,199.0,324,3.0,3.1944052654602118
30000,0.8599655628204346,,,,0.12282474339008331,,682.657741094,,13.410431861877441,,,,,,1763436744.0305514,,,,,,,,327,,
