total_kills_per_episode,global_step,robot_1/loss,robot_3/q_mean,mean_final_energy,robot_3/loss,total_charges_per_episode,_runtime,_timestamp,mean_episode_reward,total_agent_collisions_per_episode,_step,robot_0/q_std,robot_2/loss,episode_length,robot_1/q_mean,survival_rate,episode,robot_0/loss,robot_2/q_mean,robot_3/q_std,robot_0/q_mean,std_episode_reward,epsilon,robot_1/q_std,robot_2/q_std
0.0,2,,,36.75,,0.0,17.810685792,1763425027.9764478,-0.615,1.0,0,,,2.0,,3.0,0.0,,,,,0.21650635094610965,0.5,,
0.0,4,,,37.0,,1.0,17.823142535,1763425027.9896376,-0.49,0.0,1,,,2.0,,2.0,1.0,,,,,0.5000499975002499,0.5,,
0.0,16,,,49.5,,1.0,17.83868892,1763425028.005314,-0.3625,0.0,7,,,2.0,,3.0,7.0,,,,,0.41685579041198406,0.5,,
0.0,18,,,26.0,,1.0,17.840912914,1763425028.0075586,-0.6,0.0,8,,,2.0,,2.0,8.0,,,,,0.4373785545725808,0.5,,
0.0,20,,,24.5,,0.0,17.843991154,1763425028.0103724,-0.74,1.0,9,,,2.0,,2.0,9.0,,,,,0.25,0.5,,
0.0,24,,,24.5,,0.0,17.849846897,1763425028.0165083,-0.74,1.0,11,,,2.0,,2.0,11.0,,,,,0.25,0.5,,
0.0,35,,,49.0,,0.0,17.863701211,1763425028.0301187,-0.4925,2.0,16,,,2.0,,3.0,16.0,,,,,0.3500267846894006,0.5,,
0.0,61,,,24.5,,0.0,17.91134579,1763425028.0779755,-0.74,1.0,27,,,2.0,,2.0,27.0,,,,,0.25,0.5,,
0.0,64,,,38.0,,1.0,17.913381109,1763425028.0799527,-0.46749999999999997,1.0,28,,,3.0,,3.0,28.0,,,,,0.354638900855504,0.5,,
0.0,74,,,49.25,,1.0,17.927076594,1763425028.093455,-0.3675,0.0,33,,,2.0,,2.0,33.0,,,,,0.6480885356183984,0.5,,
0.0,90,,,12.25,,0.0,17.949700331,1763425028.1160734,-0.865,1.0,41,,,2.0,,1.0,41.0,,,,,0.21650635094610965,0.5,,
0.0,95,,,49.25,,0.0,17.95521002,1763425028.1215641,-0.4925,0.0,43,,,2.0,,2.0,43.0,,,,,0.49751256265545696,0.5,,
0.0,97,,,37.0,,1.0,17.957872393,1763425028.1243987,-0.4875,1.0,44,,,2.0,,3.0,44.0,,,,,0.35709767571352236,0.5,,
0.0,101,,,49.25,,1.0,17.963289592,1763425028.1298063,-0.365,1.0,46,,,2.0,,3.0,46.0,,,,,0.4146383966783588,0.5,,
0.0,103,,,49.75,,2.0,17.966362829,1763425028.1327658,-0.2375,0.0,47,,,2.0,,2.0,47.0,,,,,0.8329278180010559,0.5,,
0.0,105,,,49.0,,0.0,17.969096162,1763425028.1356225,-0.4925,1.0,48,,,2.0,,3.0,48.0,,,,,0.3500267846894006,0.5,,
0.0,114,,,37.0,,0.0,17.979281379,1763425028.1456964,-0.615,0.0,52,,,2.0,,2.0,52.0,,,,,0.414578098794425,0.5,,
0.0,128,,,12.25,,0.0,17.996494926,1763425028.1631536,-0.865,1.0,58,,,2.0,,1.0,58.0,,,,,0.21650635094610965,0.5,,
0.0,133,,,26.75,,3.0,18.003481149,1763425028.169881,-0.32999999999999996,0.0,60,,,3.0,,3.0,60.0,,,,,0.23248655875125343,0.5,,
0.0,135,,,38.25,,1.0,18.005837986,1763425028.1723633,-0.4775,0.0,61,,,2.0,,2.0,61.0,,,,,0.5130972130113357,0.5,,
0.0,141,,,26.0,,1.0,18.012788391,1763425028.1794133,-0.6,2.0,64,,,2.0,,2.0,64.0,,,,,0.4373785545725808,0.5,,
0.0,147,,,24.5,,0.0,18.021112443,1763425028.1877432,-0.74,2.0,67,,,2.0,,2.0,67.0,,,,,0.25,0.5,,
0.0,159,,,12.25,,0.0,18.036937259,1763425028.203465,-0.865,2.0,73,,,2.0,,1.0,73.0,,,,,0.21650635094610965,0.5,,
0.0,161,,,24.5,,0.0,18.039777902,1763425028.2063308,-0.74,2.0,74,,,2.0,,2.0,74.0,,,,,0.25,0.5,,
0.0,167,,,24.5,,0.0,18.048841882,1763425028.2153811,-0.74,2.0,77,,,2.0,,2.0,77.0,,,,,0.25,0.5,,
