robot_0/q_std,robot_1/q_std,mean_final_energy,_runtime,robot_3/loss,robot_0/q_mean,global_step,total_agent_collisions_per_episode,robot_2/q_std,_timestamp,total_charges_per_episode,total_kills_per_episode,survival_rate,robot_2/loss,robot_3/q_std,_step,episode,robot_0/loss,robot_1/loss,episode_length,std_episode_reward,mean_episode_reward,robot_1/q_mean,robot_2/q_mean,robot_3/q_mean
,,23.75,8.5914955,,,4,0.0,,1763369298.595309,0.0,0.0,4.0,,,0,0.0,,,4.0,0.35365060441062446,-0.4775,,,
,,38.5,8.729811084,,,6,0.0,,1763369298.751637,0.0,0.0,4.0,,,1,1.0,,,2.0,0.43083494519363214,-0.3475,,,
,,36.75,8.73275675,,,8,0.0,,1763369298.755092,0.0,0.0,4.0,,,2,2.0,,,2.0,0.21650635094610965,-0.615,,,
,,61.25,8.737499917,,,11,0.0,,1763369298.761369,0.0,0.0,4.0,,,3,3.0,,,3.0,0.4192254763250917,-0.10999999999999999,,,
,,24.5,8.741260042,,,14,0.0,,1763369298.7652218,0.0,0.0,4.0,,,4,4.0,,,3.0,0.3535533905932738,-0.48,,,
,,60.75,8.743770459,,,17,0.0,,1763369298.7686641,0.0,0.0,4.0,,,5,5.0,,,3.0,0.24505101509685692,-0.24,,,
,,74.25,8.747484917,,,19,0.0,,1763369298.7723079,0.0,0.0,4.0,,,6,6.0,,,2.0,0.7429165498223875,0.135,,,
,,50.75,8.750310667,,,22,0.0,,1763369298.7752361,0.0,0.0,4.0,,,7,7.0,,,3.0,0.42255177197593197,-0.08999999999999997,,,
,,74.0,8.757979709,,,24,0.0,,1763369298.777031,0.0,0.0,4.0,,,8,8.0,,,2.0,0.6123877448153253,0.007500000000000007,,,
,,49.25,8.758328709,,,26,0.0,,1763369298.7821,0.0,0.0,4.0,,,9,9.0,,,2.0,0.4146383966783588,-0.365,,,
,,24.5,8.767020292,,,28,0.0,,1763369298.784668,0.0,0.0,4.0,,,10,10.0,,,2.0,0.25,-0.74,,,
,,61.75,8.767161959,,,30,0.0,,1763369298.7894132,0.0,0.0,4.0,,,11,11.0,,,2.0,0.5449082491575991,-0.11499999999999999,,,
,,37.5,8.77169175,,,35,0.0,,1763369298.792937,0.0,0.0,4.0,,,12,12.0,,,5.0,1.0783639228015744,0.17250000000000004,,,
,,37.75,8.775169667,,,38,0.0,,1763369298.79955,0.0,0.0,4.0,,,13,13.0,,,3.0,0.5702850164610676,-0.345,,,
,,63.0,8.779649209,,,40,0.0,,1763369298.8028958,0.0,0.0,4.0,,,14,14.0,,,2.0,0.5484238780359586,-0.10249999999999998,,,
,,35.25,8.783929959,,,44,0.0,,1763369298.80839,0.0,0.0,4.0,,,15,15.0,,,4.0,0.20784609690826528,-0.61,,,
,,24.75,8.787340375,,,46,0.0,,1763369298.811594,0.0,0.0,4.0,,,16,16.0,,,2.0,0.649519052838329,-0.615,,,
,,49.0,8.791308125,,,48,0.0,,1763369298.815499,0.0,0.0,4.0,,,17,17.0,,,2.0,0.3500267846894006,-0.4925,,,
,,74.25,8.79542875,,,50,0.0,,1763369298.819906,0.0,0.0,4.0,,,18,18.0,,,2.0,0.7429165498223875,0.135,,,
,,36.75,8.798779667,,,53,0.0,,1763369298.823196,0.0,0.0,4.0,,,19,19.0,,,3.0,0.5635157495580758,-0.22999999999999998,,,
,,37.75,8.801289209,,,56,0.0,,1763369298.826282,0.0,0.0,4.0,,,20,20.0,,,3.0,0.34770677301427416,-0.47,,,
,,63.25,8.804756375,,,58,0.0,,1763369298.829379,0.0,0.0,4.0,,,21,21.0,,,2.0,0.5489080068645382,-0.09999999999999998,,,
,,74.0,8.808007375,,,60,0.0,,1763369298.832788,0.0,0.0,4.0,,,22,22.0,,,2.0,0.4315886351608439,-0.2425,,,
,,49.25,8.81166775,,,63,0.0,,1763369298.836192,0.0,0.0,4.0,,,23,23.0,,,3.0,0.5579146440092785,-0.23249999999999998,,,
,,24.5,8.814654542,,,65,0.0,,1763369298.8395882,0.0,0.0,4.0,,,24,24.0,,,2.0,0.25,-0.74,,,
,,24.5,8.817857584,,,68,0.0,,1763369298.841973,0.0,0.0,4.0,,,25,25.0,,,3.0,0.5494770240874499,-0.355,,,
,,60.5,8.823973542,,,71,0.0,,1763369298.8474472,0.0,0.0,4.0,,,26,26.0,,,3.0,0.2425257718264185,-0.2425,,,
,,0.0,8.82855425,,,75,0.0,,1763369298.852853,0.0,0.0,4.0,,,27,27.0,,,4.0,0.21650635094610965,-0.845,,,
,,74.0,8.83156975,,,77,0.0,,1763369298.856631,0.0,0.0,4.0,,,28,28.0,,,2.0,0.5443057504748594,-0.1175,,,
,,39.75,8.833970292,,,79,0.0,,1763369298.85903,0.0,0.0,4.0,,,29,29.0,,,2.0,0.44189930979805797,-0.33499999999999996,,,
,,24.0,8.837732125,,,83,0.0,,1763369298.8627079,0.0,0.0,4.0,,,30,30.0,,,4.0,0.41315856520227195,-0.6,,,
,,39.75,8.840691292,,,85,0.0,,1763369298.865706,0.0,0.0,4.0,,,31,31.0,,,2.0,0.44189930979805797,-0.33499999999999996,,,
,,38.25,8.843475084,,,89,0.0,,1763369298.8686268,0.0,0.0,4.0,,,32,32.0,,,4.0,1.1419364036582773,0.16750000000000004,,,
,,49.0,8.847001292,,,91,0.0,,1763369298.8707578,0.0,0.0,4.0,,,33,33.0,,,2.0,0.3500267846894006,-0.4925,,,
,,49.25,8.849338792,,,94,0.0,,1763369298.874387,0.0,0.0,4.0,,,34,34.0,,,3.0,0.5612931497889494,-0.22999999999999998,,,
,,37.25,8.854129292,,,98,0.0,,1763369298.878602,0.0,0.0,4.0,,,35,35.0,,,4.0,0.2367488120350343,-0.33999999999999997,,,
,,49.75,8.856302334,,,100,0.0,,1763369298.88137,0.0,0.0,4.0,,,36,36.0,,,2.0,0.43591857037754195,-0.235,,,
,,61.75,8.85826825,,,102,0.0,,1763369298.883498,0.0,0.0,4.0,,,37,37.0,,,2.0,0.5449082491575991,-0.11499999999999999,,,
,,24.5,8.861374167,,,104,0.0,,1763369298.8857112,0.0,0.0,4.0,,,38,38.0,,,2.0,0.25,-0.74,,,
,,2.5,8.864569625,,,108,0.0,,1763369298.8898401,0.0,0.0,4.0,,,39,39.0,,,4.0,0.45663853319666314,-0.5674999999999999,,,
,,36.75,8.866848625,,,110,0.0,,1763369298.891569,0.0,0.0,4.0,,,40,40.0,,,2.0,0.41081473926820106,-0.6174999999999999,,,
,,49.0,8.869238792,,,113,0.0,,1763369298.894311,0.0,0.0,4.0,,,41,41.0,,,3.0,0.5624222168442495,-0.23249999999999998,,,
,,49.25,8.870874375,,,115,0.0,,1763369298.896045,0.0,0.0,4.0,,,42,42.0,,,2.0,0.4146383966783588,-0.365,,,
,,61.5,8.873647375000001,,,118,0.0,,1763369298.898479,0.0,0.0,4.0,,,43,43.0,,,3.0,0.6510136327297609,-0.10749999999999998,,,
,,49.0,8.875776,,,120,0.0,,1763369298.9007711,0.0,0.0,4.0,,,44,44.0,,,2.0,0.3500267846894006,-0.4925,,,
,,38.25,8.88109825,,,122,0.0,,1763369298.902891,0.0,0.0,4.0,,,45,45.0,,,2.0,0.375066660741794,-0.475,,,
,,61.75,8.885797125,,,124,0.0,,1763369298.9089978,0.0,0.0,4.0,,,46,46.0,,,2.0,0.4330704330706496,-0.24,,,
