robot_2/q_mean,robot_1/q_std,robot_2/q_std,robot_1/q_mean,epsilon,_timestamp,episode,mean_final_energy,global_step,robot_1/loss,robot_3/loss,_step,std_episode_reward,total_kills_per_episode,total_charges_per_episode,_runtime,robot_2/loss,robot_3/q_mean,episode_length,total_agent_collisions_per_episode,mean_episode_reward,robot_0/loss,robot_0/q_std,robot_3/q_std,survival_rate,robot_0/q_mean
,,,,1.0,1763425235.19367,0.0,23.75,4,,,0,0.35365060441062446,0.0,2.0,17.715271618,,,4.0,1.0,-0.4775,,,,2.0,
,,,,1.0,1763425235.2035718,1.0,38.5,6,,,1,0.43083494519363214,0.0,2.0,17.724839982,,,2.0,0.0,-0.3475,,,,3.0,
,,,,1.0,1763425235.2189062,7.0,50.75,22,,,7,0.42255177197593197,0.0,3.0,17.73980082,,,3.0,2.0,-0.08999999999999997,,,,3.0,
,,,,1.0,1763425235.2199757,8.0,74.0,24,,,8,0.6123877448153253,0.0,2.0,17.740823371,,,2.0,1.0,0.007500000000000007,,,,3.0,
,,,,1.0,1763425235.22103,9.0,49.25,26,,,9,0.4146383966783588,0.0,1.0,17.742067549,,,2.0,0.0,-0.365,,,,3.0,
,,,,1.0,1763425235.2234075,11.0,61.75,30,,,11,0.5449082491575991,0.0,2.0,17.744433199,,,2.0,0.0,-0.11499999999999999,,,,3.0,
,,,,1.0,1763425235.229604,16.0,24.75,46,,,16,0.649519052838329,0.0,1.0,17.750488781,,,2.0,0.0,-0.615,,,,1.0,
,,,,1.0,1763425235.2419908,27.0,0.0,75,,,27,0.21650635094610965,1.0,1.0,17.762844975,,,4.0,2.0,-0.845,,,,0.0,
,,,,1.0,1763425235.2430544,28.0,74.0,77,,,28,0.5443057504748594,0.0,1.0,17.763896093,,,2.0,0.0,-0.1175,,,,3.0,
,,,,1.0,1763425235.2486863,33.0,49.0,91,,,33,0.3500267846894006,0.0,0.0,17.769560711,,,2.0,1.0,-0.4925,,,,3.0,
,,,,1.0,1763425235.257688,41.0,49.0,113,,,41,0.5624222168442495,0.0,2.0,17.778581579,,,3.0,1.0,-0.23249999999999998,,,,3.0,
,,,,1.0,1763425235.259884,43.0,61.5,118,,,43,0.6510136327297609,0.0,2.0,17.780760999,,,3.0,1.0,-0.10749999999999998,,,,3.0,
,,,,1.0,1763425235.2609205,44.0,49.0,120,,,44,0.3500267846894006,0.0,0.0,17.781789484,,,2.0,0.0,-0.4925,,,,3.0,
,,,,1.0,1763425235.262982,46.0,61.75,124,,,46,0.4330704330706496,0.0,1.0,17.783848265,,,2.0,0.0,-0.24,,,,3.0,
,,,,1.0,1763425235.2640412,47.0,49.5,126,,,47,0.649519052838329,0.0,1.0,17.784906659,,,2.0,1.0,-0.365,,,,2.0,
,,,,1.0,1763425235.2650962,48.0,61.5,128,,,48,0.5579146440092785,0.0,1.0,17.785963486,,,2.0,0.0,-0.2425,,,,3.0,
,,,,1.0,1763425235.2696092,52.0,50.75,139,,,52,0.5662817320027196,0.0,2.0,17.790482537,,,2.0,0.0,-0.22499999999999998,,,,3.0,
,,,,1.0,1763425235.2764406,58.0,49.75,155,,,58,0.7437405461584032,0.0,3.0,17.797505344,,,2.0,1.0,-0.10999999999999999,,,,3.0,
,,,,1.0,1763425235.2789364,60.0,49.25,161,,,60,0.8284133931799992,0.0,2.0,17.799793239,,,3.0,0.0,-0.23249999999999998,,,,2.0,
,,,,1.0,1763425235.2800076,61.0,37.0,163,,,61,0.6123724356957945,0.0,1.0,17.800855952,,,2.0,2.0,-0.48999999999999994,,,,2.0,
