robot_0/loss,global_step,episode_length,robot_1/q_std,_runtime,robot_3/q_std,robot_2/q_mean,_timestamp,epsilon,robot_0/q_mean,mean_episode_reward,total_kills_per_episode,total_agent_collisions_per_episode,survival_rate,mean_final_energy,episode,std_episode_reward,_step,total_charges_per_episode,robot_3/q_mean,robot_2/loss,robot_0/q_std,robot_1/loss,robot_3/loss,robot_2/q_std,robot_1/q_mean
,2,2.0,,17.98901946,,,1763425363.6032336,0.2,,-0.4925,0.0,1.0,3.0,49.0,0.0,0.3500267846894006,0,0.0,,,,,,,
,4,2.0,,18.001867491,,,1763425363.6169145,0.2,,-0.865,0.0,1.0,1.0,12.25,1.0,0.21650635094610965,1,0.0,,,,,,,
,16,2.0,,18.021908713,,,1763425363.6370487,0.2,,-0.6,0.0,0.0,2.0,26.0,7.0,0.4373785545725808,7,1.0,,,,,,,
,18,2.0,,18.025777142,,,1763425363.6406765,0.2,,-0.865,0.0,1.0,1.0,12.25,8.0,0.21650635094610965,8,0.0,,,,,,,
,20,2.0,,18.029085192,,,1763425363.6440003,0.2,,-0.865,0.0,0.0,1.0,12.25,9.0,0.21650635094610965,9,0.0,,,,,,,
,24,2.0,,18.03562835,,,1763425363.6507466,0.2,,-0.22499999999999998,0.0,0.0,3.0,50.75,11.0,0.5662817320027196,11,2.0,,,,,,,
,34,2.0,,18.051874909,,,1763425363.6668622,0.2,,-0.74,0.0,1.0,2.0,24.5,16.0,0.25,16,0.0,,,,,,,
,56,2.0,,18.087483107,,,1763425363.702338,0.2,,-0.6,0.0,0.0,2.0,26.0,27.0,0.4373785545725808,27,1.0,,,,,,,
,58,2.0,,18.091044426,,,1763425363.7060041,0.2,,-0.6124999999999999,0.0,1.0,2.0,24.75,28.0,0.4183524232032127,28,1.0,,,,,,,
,68,2.0,,18.107558191,,,1763425363.722419,0.2,,-0.5999999999999999,0.0,1.0,2.0,26.0,33.0,0.4373785545725808,33,1.0,,,,,,,
,84,2.0,,18.13369774,,,1763425363.7488015,0.2,,-0.475,0.0,1.0,3.0,38.25,41.0,0.375066660741794,41,1.0,,,,,,,
,88,2.0,,18.140421869,,,1763425363.7555933,0.2,,-0.865,0.0,1.0,1.0,12.25,43.0,0.21650635094610965,43,0.0,,,,,,,
,90,2.0,,18.143664553,,,1763425363.7586672,0.2,,-0.74,0.0,1.0,2.0,24.5,44.0,0.25,44,0.0,,,,,,,
,96,2.0,,18.15403498,,,1763425363.7691338,0.2,,-0.865,0.0,1.0,1.0,12.25,47.0,0.21650635094610965,47,0.0,,,,,,,
,98,2.0,,18.157814033,,,1763425363.7728443,0.2,,-0.865,0.0,1.0,1.0,12.25,48.0,0.21650635094610965,48,0.0,,,,,,,
,106,2.0,,18.170840825,,,1763425363.7859738,0.2,,-0.865,0.0,1.0,1.0,12.25,52.0,0.21650635094610965,52,0.0,,,,,,,
,118,2.0,,18.190328715,,,1763425363.8054142,0.2,,-0.74,0.0,0.0,2.0,24.5,58.0,0.25,58,0.0,,,,,,,
,122,2.0,,18.197083297,,,1763425363.812104,0.2,,-0.6125,0.0,1.0,2.0,24.75,60.0,0.4183524232032127,60,1.0,,,,,,,
