robot_3/q_std,_runtime,mean_episode_reward,robot_0/q_std,robot_2/loss,total_kills_per_episode,robot_2/q_std,episode,robot_3/loss,robot_2/q_mean,total_immediate_kills_per_episode,epsilon,_timestamp,episode_length,total_charges_per_episode,std_episode_reward,_step,total_non_home_charges_per_episode,global_step,robot_1/q_std,robot_3/q_mean,robot_1/loss,survival_rate,mean_final_energy,robot_0/loss,robot_0/q_mean,robot_1/q_mean,total_agent_collisions_per_episode
,17.578076847,-0.41,,,0.0,,0.0,,,0.0,1.0,1763495829.5107744,3.0,2.0,0.5718828551373087,0,0.0,3,,,,3.0,31.25,,,,0.0
,17.752547096,-0.32249999999999995,,,0.0,,7.0,,,0.0,0.9655206468094844,1763495829.6859152,3.0,3.0,0.3033459246470933,7,1.0,22,,,,3.0,27.5,,,,1.0
,17.75388175,-0.7325,,,0.0,,8.0,,,0.0,0.960693043575437,1763495829.6872897,2.0,0.0,0.18032955941830503,8,0.0,24,,,,3.0,25.0,,,,1.0
,17.755065412,-0.48250000000000004,,,0.0,,9.0,,,0.0,0.9558895783575597,1763495829.688542,2.0,1.0,0.4703921236585494,9,0.0,26,,,,3.0,37.5,,,,1.0
,17.780470846,-0.4825,,,0.0,,27.0,,,0.0,0.8734200960253871,1763495829.713877,2.0,1.0,0.398457965160693,27,0.0,69,,,,3.0,37.5,,,,0.0
,17.782760338,-0.84,,,1.0,,28.0,,,0.0,0.8690529955452602,1763495829.7161818,3.0,1.0,0.24248711305964285,28,0.0,72,,,,1.0,1.25,,,,2.0
,17.79019227,-0.4225,,,0.0,,33.0,,,0.0,0.8475428503023453,1763495829.7235076,2.0,2.0,0.5743420148308845,33,0.0,83,,,,2.0,31.25,,,,0.0
,17.805872261,-0.39499999999999996,,,0.0,,41.0,,,0.0,0.8142285204175609,1763495829.7393878,2.0,2.0,0.4739989451465056,41,0.0,101,,,,3.0,33.75,,,,0.0
,17.812207778,-0.5349999999999999,,,0.0,,43.0,,,0.0,0.8061065909263957,1763495829.7455978,3.0,2.0,0.20657928260113598,43,0.0,107,,,,3.0,18.75,,,,0.0
,17.814664176,-0.8600000000000001,,,0.0,,44.0,,,0.0,0.8020760579717637,1763495829.7479637,2.0,0.0,0.13,44,0.0,109,,,,2.0,12.5,,,,3.0
,17.822307569,-0.5325,,,0.0,,47.0,,,0.0,0.7901049725470279,1763495829.7556949,2.0,1.0,0.3918146883413127,47,0.0,116,,,,3.0,32.5,,,,0.0
,17.850709133,-0.4825,,,0.0,,60.0,,,0.0,0.7402609576967045,1763495829.7842116,2.0,1.0,0.398457965160693,60,0.0,144,,,,3.0,37.5,,,,0.0
,17.853204823,-0.7949999999999999,,,0.0,,61.0,,,0.0,0.736559652908221,1763495829.7864718,2.0,0.0,0.11258330249197702,61,0.0,146,,,,3.0,18.75,,,,0.0
