mean_final_energy,std_episode_reward,episode_length,_runtime,robot_2/q_mean,total_kills_per_episode,total_charges_per_episode,robot_1/q_mean,_timestamp,robot_2/loss,survival_rate,mean_episode_reward,robot_1/q_std,robot_3/q_std,total_immediate_kills_per_episode,total_agent_collisions_per_episode,total_non_home_charges_per_episode,_step,epsilon,robot_0/q_std,robot_2/q_std,episode,robot_3/loss,robot_3/q_mean,global_step,robot_0/loss,robot_1/loss,robot_0/q_mean
37.5,0.8234986338786482,2.0,17.57243282,,0.0,2.0,,1763501268.6311443,,2.0,-0.36,,,0.0,0.0,0.0,0,1.0,,,0.0,,,2,,,
12.5,0.4373428289111415,2.0,17.582002591,,0.0,1.0,,1763501268.6409965,,1.0,-0.7375,,,0.0,0.0,0.0,1,0.995,,,1.0,,,4,,,
25.0,0.41910619179391756,2.0,17.743180387,,0.0,1.0,,1763501268.8023536,,2.0,-0.61,,,0.0,2.0,0.0,7,0.9655206468094844,,,7.0,,,16,,,
38.75,0.43002906878489044,2.0,17.745375136,,0.0,2.0,,1763501268.8047888,,3.0,-0.345,,,0.0,0.0,0.0,8,0.960693043575437,,,8.0,,,18,,,
25.0,0.41910619179391756,2.0,17.746715556,,0.0,1.0,,1763501268.8060367,,2.0,-0.61,,,0.0,1.0,0.0,9,0.9558895783575597,,,9.0,,,20,,,
26.25,0.5178018443381599,2.0,17.775547943,,0.0,2.0,,1763501268.8349383,,2.0,-0.4725,,,0.0,0.0,0.0,27,0.8734200960253871,,,27.0,,,57,,,
12.5,0.4373428289111415,2.0,17.777428809,,0.0,1.0,,1763501268.8368883,,1.0,-0.7375,,,0.0,1.0,0.0,28,0.8690529955452602,,,28.0,,,59,,,
12.5,0.4373428289111415,2.0,17.786460573,,1.0,1.0,,1763501268.8457074,,1.0,-0.7374999999999999,,,0.0,1.0,0.0,33,0.8475428503023453,,,33.0,,,70,,,
25.0,0.41910619179391756,2.0,17.801143947,,0.0,1.0,,1763501268.8605921,,2.0,-0.61,,,0.0,1.0,0.0,41,0.8142285204175609,,,41.0,,,86,,,
13.75,0.45899346400575247,2.0,17.804754183,,0.0,1.0,,1763501268.8641787,,1.0,-0.725,,,0.0,1.0,0.0,43,0.8061065909263957,,,43.0,,,90,,,
12.5,0.4373428289111415,2.0,17.807374975,,0.0,1.0,,1763501268.8668098,,1.0,-0.7375,,,0.0,1.0,0.0,44,0.8020760579717637,,,44.0,,,92,,,
37.5,0.8336815938954151,2.0,17.812360997,,0.0,3.0,,1763501268.8718913,,2.0,-0.235,,,0.0,0.0,0.0,47,0.7901049725470279,,,47.0,,,98,,,
12.5,0.4373428289111415,2.0,17.840143186,,0.0,1.0,,1763501268.8995528,,1.0,-0.7375,,,0.0,1.0,0.0,60,0.7402609576967045,,,60.0,,,124,,,
0.0,0.0,2.0,17.842829067,,0.0,0.0,,1763501268.902238,,0.0,-0.99,,,0.0,0.0,0.0,61,0.736559652908221,,,61.0,,,126,,,
0.0,0.0,2.0,17.849165146,,0.0,0.0,,1763501268.9084234,,0.0,-0.99,,,0.0,0.0,0.0,64,0.7255664080186093,,,64.0,,,132,,,
0.0,0.0,2.0,17.857360224,,0.0,0.0,,1763501268.9167895,,0.0,-0.99,,,0.0,0.0,0.0,67,0.7147372386831305,,,67.0,,,138,,,
12.5,0.22083647796503186,2.0,17.875650488,,0.0,0.0,,1763501268.934956,,1.0,-0.8625,,,0.0,0.0,0.0,74,0.6900935609921609,,,74.0,,,152,,,
12.5,0.22083647796503186,2.0,17.883095656,,0.0,0.0,,1763501268.9424038,,1.0,-0.8624999999999999,,,0.0,0.0,0.0,77,0.6797938283326578,,,77.0,,,158,,,
0.0,0.0,2.0,17.884921357,,0.0,0.0,,1763501268.9444327,,0.0,-0.99,,,0.0,0.0,0.0,78,0.6763948591909945,,,78.0,,,160,,,
25.0,0.41910619179391756,2.0,17.901223624,,0.0,1.0,,1763501268.9605184,,2.0,-0.61,,,0.0,0.0,0.0,85,0.653073201944699,,,85.0,,,174,,,
13.75,0.45899346400575247,2.0,17.908015715,,1.0,1.0,,1763501268.9674108,,1.0,-0.7249999999999999,,,1.0,1.0,0.0,88,0.6433260027715241,,,88.0,,,180,,,
12.5,0.22083647796503186,2.0,17.920550967,,0.0,0.0,,1763501268.979873,,1.0,-0.8625,,,0.0,0.0,0.0,94,0.6242658676435396,,,94.0,,,192,,,
12.5,0.4373428289111415,2.0,17.934232709,,0.0,1.0,,1763501268.9935355,,1.0,-0.7375,,,0.0,0.0,0.0,99,0.6088145090359074,,,99.0,,,202,,,
13.75,0.45899346400575247,2.0,17.951518365,,0.0,1.0,,1763501269.0109367,,1.0,-0.725,,,0.0,0.0,0.0,102,0.5997278763867329,,,102.0,,,208,,,
12.5,0.22083647796503186,2.0,17.957383114,,0.0,0.0,,1763501269.0167356,,1.0,-0.8624999999999999,,,0.0,0.0,0.0,104,0.5937455908197752,,,104.0,,,212,,,
13.75,0.45899346400575247,2.0,17.969694469,,0.0,1.0,,1763501269.0292146,,1.0,-0.725,,,0.0,0.0,0.0,109,0.5790496471185967,,,109.0,,,222,,,
26.25,0.4380282525134652,2.0,17.9991725,,0.0,1.0,,1763501269.0586662,,2.0,-0.5974999999999999,,,0.0,1.0,0.0,120,0.547986285490042,,,120.0,,,244,,,
12.5,0.4373428289111415,2.0,18.011000437,,0.0,1.0,,1763501269.0704956,,1.0,-0.7375,,,0.0,0.0,0.0,124,0.5371084840724134,,,124.0,,,252,,,
38.75,0.8377760739004187,2.0,18.036086594,,0.0,3.0,,1763501269.0954862,,2.0,-0.22249999999999998,,,0.0,0.0,0.0,133,0.5134164023722473,,,133.0,,,270,,,
0.0,0.0,2.0,18.043876916,,0.0,0.0,,1763501269.1033764,,0.0,-0.99,,,0.0,0.0,0.0,136,0.5057535983897912,,,136.0,,,276,,,
13.75,0.45899346400575247,2.0,18.065182193,,0.0,1.0,,1763501269.1244378,,1.0,-0.725,,,0.0,0.0,0.0,143,0.4883155414435353,,,143.0,,,290,,,
0.0,0.0,2.0,18.076799805,,0.0,0.0,,1763501269.136212,,0.0,-0.99,,,0.0,0.0,0.0,147,0.47862223409330756,,,147.0,,,298,,,
