robot_2/loss,_runtime,robot_1/loss,robot_2/q_mean,robot_3/q_mean,robot_3/q_std,std_episode_reward,robot_1/q_std,robot_0/q_std,epsilon,mean_episode_reward,episode_length,total_kills_per_episode,total_immediate_kills_per_episode,robot_0/loss,robot_3/loss,survival_rate,_step,robot_0/q_mean,total_charges_per_episode,total_agent_collisions_per_episode,episode,global_step,mean_final_energy,total_non_home_charges_per_episode,robot_1/q_mean,robot_2/q_std,_timestamp
,17.560937666,,,,,0.7525083056020047,,,1.0,-0.7224999999999999,3.0,0.0,0.0,,,3.0,0,,2.0,0.0,0.0,3,50.0,0.0,,,1763511443.9989183
,17.736789105,,,,,0.22083647796503186,,,0.9655206468094844,-1.3524999999999998,3.0,1.0,1.0,,,1.0,7,,0.0,2.0,7.0,25,12.5,0.0,,,1763511444.175386
,17.738031384,,,,,0.0,,,0.960693043575437,-1.48,3.0,1.0,0.0,,,0.0,8,,0.0,2.0,8.0,28,0.0,0.0,,,1763511444.1766691
,17.739372926,,,,,0.6543317201542349,,,0.9558895783575597,-0.85,3.0,0.0,0.0,,,2.0,9,,2.0,0.0,9.0,31,37.5,0.0,,,1763511444.1779218
,17.768016783,,,,,0.6619053935420076,,,0.8734200960253871,-0.8375,3.0,0.0,0.0,,,2.0,27,,2.0,0.0,27.0,88,38.75,0.0,,,1763511444.2068908
,17.770769367,,,,,0.4300290687848904,,,0.8690529955452602,-0.835,3.0,1.0,1.0,,,3.0,28,,2.0,2.0,28.0,91,38.75,0.0,,,1763511444.2095387
,17.781078206,,,,,0.4183524232032127,,,0.8475428503023453,-0.8474999999999999,3.0,0.0,0.0,,,3.0,33,,2.0,0.0,33.0,106,37.5,0.0,,,1763511444.2197526
,17.798588479,,,,,0.4373428289111415,,,0.8142285204175609,-1.2275,3.0,0.0,0.0,,,1.0,41,,1.0,1.0,41.0,130,12.5,0.0,,,1763511444.2374403
,17.806192961,,,,,0.0,,,0.8020760579717637,-1.48,3.0,1.0,0.0,,,0.0,44,,0.0,2.0,44.0,139,0.0,0.0,,,1763511444.2450411
,17.813423428,,,,,0.22083647796503186,,,0.7901049725470279,-1.3524999999999998,3.0,0.0,0.0,,,1.0,47,,0.0,1.0,47.0,148,12.5,0.0,,,1763511444.2522867
